_MEMBER_DEGs,_MEMBER_DMRs,_LogP_DEGs,_LogP_DMRs,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,1,0,-6.6,M39111,M01,1,0,Cell Type Signatures,7,AIZARANI LIVER C7 EPCAM POS BILE DUCT CELLS 2,,-6.6,6.1,7.5,30337,219,296,13,4.4,1.2,1969|1999|3983|4782|5909|6649|7171|7465|23327|23654|56937|57648|647024,EPHA2|ELF3|ABLIM1|NFIC|RAP1GAP|SOD3|TPM4|WEE1|NEDD4L|PLXNB2|PMEPA1|NHSL3|C6orf132,-4.9,0
1,1,-5.3,-6.5,M39175,M11,2,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-6.5,3.5,6.5,30337,680,296,23,7.8,1.6,639|832|2034|3090|4053|4782|7078|7171|8519|8553|9516|9536|9828|9902|10160|23180|23187|56937|79026|79652|84627|89796|219699,PRDM1|CAPZB|EPAS1|HIC1|LTBP2|NFIC|TIMP3|TPM4|IFITM1|BHLHE40|LITAF|PTGES|ARHGEF17|MRC2|FARP1|RFTN1|PHLDB1|PMEPA1|AHNAK|TMEM204|ZNF469|NAV1|UNC5B,-4.9,0
1,1,-6.5,-3.3,M39167,M11,2,0,Cell Type Signatures,7,GAO LARGE INTESTINE ADULT CJ IMMUNE CELLS,,-6.5,3.5,6.4,30337,505,400,23,5.8,1.2,1441|1903|2316|2321|2687|3678|4327|5138|5328|5341|6347|6515|6781|7056|9510|9754|9839|10335|10763|22918|140706|170954|339761,CSF3R|S1PR3|FLNA|FLT1|GGT5|ITGA5|MMP19|PDE2A|PLAU|PLEK|CCL2|SLC2A3|STC1|THBD|ADAMTS1|STARD8|ZEB2|IRAG1|NES|CD93|CCM2L|PPP1R18|CYP27C1,-4.8,0
1,1,-6.5,-6.3,M39122,M11,2,0,Cell Type Signatures,7,AIZARANI LIVER C21 STELLATE CELLS 1,,-6.5,5.5,7.2,30337,194,400,14,3.5,0.92,2012|2353|2354|2687|4327|5997|6347|7538|8870|9021|9173|9510|10581|64651,EMP1|FOS|FOSB|GGT5|MMP19|RGS2|CCL2|ZFP36|IER3|SOCS3|IL1RL1|ADAMTS1|IFITM2|CSRNP1,-4.8,0
1,1,-2.6,-6.4,M41659,M11,2,0,Cell Type Signatures,7,TRAVAGLINI LUNG ALVEOLAR EPITHELIAL TYPE 1 CELL,,-6.4,4.5,6.8,30337,391,296,17,5.7,1.4,1312|1523|2621|3339|3983|5154|5209|5590|7078|7171|23136|23327|51090|54453|57224|64359|79026,COMT|CUX1|GAS6|HSPG2|ABLIM1|PDGFA|PFKFB3|PRKCZ|TIMP3|TPM4|EPB41L3|NEDD4L|PLLP|RIN2|NHSL1|NXN|AHNAK,-4.8,0
0,1,0,-6.4,M39104,M01,1,0,Cell Type Signatures,7,ZHONG PFC C3 MICROGLIA,,-6.4,4,6.6,30337,488,296,19,6.4,1.4,1759|1952|2817|3983|4774|4784|5361|10458|11156|11332|23030|26960|55182|57593|79058|89796|116988|153090|494470,DNM1|CELSR2|GPC1|ABLIM1|NFIA|NFIX|PLXNA1|BAIAP2|PTP4A3|ACOT7|KDM4B|NBEA|RNF220|EBF4|ASPSCR1|NAV1|AGAP3|DAB2IP|ARK2C,-4.7,0
1,1,-6.2,-4.8,M39114,M11,2,0,Cell Type Signatures,7,AIZARANI LIVER C10 MVECS 1,,-6.2,4.5,6.7,30337,269,400,16,4,0.98,1901|2012|2321|2354|3678|5138|7056|8291|9021|9510|10763|22918|57458|64651|85450|140706,S1PR1|EMP1|FLT1|FOSB|ITGA5|PDE2A|THBD|DYSF|SOCS3|ADAMTS1|NES|CD93|TMCC3|CSRNP1|ITPRIP|CCM2L,-4.5,0
1,0,-6.1,0,M40069,M10,1,0,Cell Type Signatures,7,DESCARTES MAIN FETAL MEGAKARYOCYTES,,-6.1,5.1,6.9,30337,207,400,14,3.5,0.92,5023|5341|5473|6515|10235|10335|23569|64407|79930|80739|83706|133874|146225|101929559,P2RX1|PLEK|PPBP|SLC2A3|RASGRP2|IRAG1|PADI4|RGS18|DOK3|MPIG6B|FERMT3|C5orf58|CMTM2|PIRAT1,-4.5,0
1,0,-5.9,0,M39047,M10,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BRAIN NAIVE LIKE T CELL,,-5.9,5.8,6.9,30337,158,400,12,3,0.85,399|969|3385|4046|4050|5788|5880|6402|7852|9535|9595|55843,RHOH|CD69|ICAM3|LSP1|LTB|PTPRC|RAC2|SELL|CXCR4|GMFG|CYTIP|ARHGAP15,-4.2,0
1,1,-5.9,-2.3,M41666,M11,2,0,Cell Type Signatures,7,TRAVAGLINI LUNG CAPILLARY INTERMEDIATE 1 CELL,,-5.9,5.8,6.9,30337,158,400,12,3,0.85,762|929|3383|3678|5328|6781|6926|9173|9308|26353|28231|57580,CA4|CD14|ICAM1|ITGA5|PLAU|STC1|TBX3|IL1RL1|CD83|HSPB8|SLCO4A1|PREX1,-4.2,0
1,1,-3.9,-5.8,M40167,M11,2,0,Cell Type Signatures,7,DESCARTES FETAL CEREBRUM VASCULAR ENDOTHELIAL CELLS,,-5.8,3.5,6.1,30337,585,296,20,6.8,1.5,218|864|1953|1969|2034|3090|5998|8140|8291|8519|10044|26153|53637|54345|55620|79026|79652|134265|219699|256364,ALDH3A1|RUNX3|MEGF6|EPHA2|EPAS1|HIC1|RGS3|SLC7A5|DYSF|IFITM1|SH2D3C|KIF26A|S1PR5|SOX18|STAP2|AHNAK|TMEM204|AFAP1L1|UNC5B|EML3,-4.2,0
0,1,0,-5.8,M41694,M01,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG PLASMACYTOID DENDRITIC CELL,,-5.8,8.3,7.7,30337,111,296,9,3,1,1969|2621|5802|8140|56937|79805|90427|148641|201305,EPHA2|GAS6|PTPRS|SLC7A5|PMEPA1|VASH2|BMF|SLC35F3|SPNS3,-4.2,0
1,0,-5.6,0,M39276,M10,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM CD4 T CELLS,,-5.6,15,9,30337,30,400,6,1.5,0.61,969|4050|5788|7852|9535|117289,CD69|LTB|PTPRC|CXCR4|GMFG|TAGAP,-4.1,0
1,1,-5.5,-3.1,M39113,M11,2,0,Cell Type Signatures,7,AIZARANI LIVER C9 LSECS 1,,-5.5,4,6.1,30337,304,400,16,4,0.98,133|929|1901|2012|2321|3678|5138|6515|6781|7378|9021|9173|10894|22918|23135|85450,ADM|CD14|S1PR1|EMP1|FLT1|ITGA5|PDE2A|SLC2A3|STC1|UPP1|SOCS3|IL1RL1|LYVE1|CD93|KDM6B|ITPRIP,-3.9,0
1,0,-5.5,0,M39116,M10,1,0,Cell Type Signatures,7,AIZARANI LIVER C12 NK NKT CELLS 4,,-5.5,11,8,30337,49,400,7,1.8,0.66,241|969|3310|3936|5788|5880|8530,ALOX5AP|CD69|HSPA6|LCP1|PTPRC|RAC2|CST7,-3.9,0
1,0,-5.4,0,M39042,M10,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX MICROGLIA 2,,-5.4,34,11,30337,9,400,4,1,0.5,2354|3553|8870|9308,FOSB|IL1B|IER3|CD83,-3.9,0
0,1,0,-5.4,M39224,M01,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C5 PROXIMAL TUBULE EPITHELIAL CELLS STRESS INFLAM,,-5.4,3.9,6,30337,417,296,16,5.4,1.3,1523|1759|4782|4784|5581|6586|23051|51084|51422|54453|55182|79058|84875|85379|284422|100874185,CUX1|DNM1|NFIC|NFIX|PRKCE|SLIT3|ZHX3|CRYL1|PRKAG2|RIN2|RNF220|ASPSCR1|PARP10|KIAA1671|SMIM24|FRMD6-AS2,-3.8,0
1,0,-5.4,0,M40239,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL LUNG MEGAKARYOCYTES,,-5.4,5.2,6.4,30337,176,400,12,3,0.85,654|2316|4354|4778|5023|5341|5473|6515|64407|80739|83706|146225,BMP6|FLNA|MPP1|NFE2|P2RX1|PLEK|PPBP|SLC2A3|RGS18|MPIG6B|FERMT3|CMTM2,-3.8,0
1,0,-5.4,0,M39302,M10,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART C5 VALVAR CELL,,-5.4,4.7,6.3,30337,208,400,13,3.2,0.89,1959|1960|2353|3310|4327|5743|6615|7130|8870|9021|9510|54331|64651,EGR2|EGR3|FOS|HSPA6|MMP19|PTGS2|SNAI1|TNFAIP6|IER3|SOCS3|ADAMTS1|GNG2|CSRNP1,-3.8,0
1,0,-5.2,0,M39215,M10,1,0,Cell Type Signatures,7,ZHENG CORD BLOOD C6 HSC MULTIPOTENT PROGENITOR,,-5.2,7,6.9,30337,97,400,9,2.2,0.74,5552|5788|6515|6696|7133|7852|9473|10135|64092,SRGN|PTPRC|SLC2A3|SPP1|TNFRSF1B|CXCR4|THEMIS2|NAMPT|SAMSN1,-3.7,0
1,0,-5.2,0,M40288,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL SPLEEN LYMPHOID CELLS,,-5.2,6.1,6.6,30337,124,400,10,2.5,0.78,240|241|399|951|8875|9437|81793|115350|117289|653361,ALOX5|ALOX5AP|RHOH|CD37|VNN2|NCR1|TLR10|FCRL1|TAGAP|NCF1,-3.7,0
1,0,-5.2,0,M39127,M10,1,0,Cell Type Signatures,7,AIZARANI LIVER C28 NK NKT CELLS 6,,-5.2,6.9,6.8,30337,99,400,9,2.2,0.74,963|969|3936|5552|5788|6503|7852|9595|64092,CD53|CD69|LCP1|SRGN|PTPRC|SLA|CXCR4|CYTIP|SAMSN1,-3.6,0
1,1,-5.1,-2.2,M40001,M11,2,0,Cell Type Signatures,7,BUSSLINGER ESOPHAGEAL QUIESCENT BASAL CELLS,,-5.1,7.9,7,30337,77,400,8,2,0.7,1308|2353|2354|3861|5270|7850|8140|9021,COL17A1|FOS|FOSB|KRT14|SERPINE2|IL1R2|SLC7A5|SOCS3,-3.6,0
1,0,-5,0,M40231,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL LIVER MEGAKARYOCYTES,,-5,5.2,6.2,30337,159,400,11,2.8,0.82,2316|5341|5473|10335|23569|57091|64407|80739|83706|146225|101929559,FLNA|PLEK|PPBP|IRAG1|PADI4|CASS4|RGS18|MPIG6B|FERMT3|CMTM2|PIRAT1,-3.5,0
1,1,-5,-3.5,M39204,M11,2,0,Cell Type Signatures,7,HAY BONE MARROW NK CELLS,,-5,3.5,5.6,30337,370,400,17,4.2,1,101|963|3579|3689|4542|5880|8277|8477|8530|8807|9437|10581|11314|27036|54331|64333|170954,ADAM8|CD53|CXCR2|ITGB2|MYO1F|RAC2|TKTL1|GPR65|CST7|IL18RAP|NCR1|IFITM2|CD300A|SIGLEC7|GNG2|ARHGAP9|PPP1R18,-3.5,0
1,0,-5,0,M41714,M10,1,0,Cell Type Signatures,7,FAN OVARY CL12 T LYMPHOCYTE NK CELL 2,,-5,5.2,6.1,30337,161,400,11,2.8,0.82,241|963|969|2124|4050|5552|5788|7852|8530|9595|64092,ALOX5AP|CD53|CD69|EVI2B|LTB|SRGN|PTPRC|CXCR4|CST7|CYTIP|SAMSN1,-3.5,0
1,0,-4.9,0,M39162,M10,1,0,Cell Type Signatures,7,GAO LARGE INTESTINE ADULT CE OLFM4HIGH STEM CELL,,-4.9,3.4,5.5,30337,374,400,17,4.2,1,728|2180|2357|2867|3656|4001|4050|5341|6374|7940|57580|80852|84649|123041|200315|342510|100509894,C5AR1|ACSL1|FPR1|FFAR2|IRAK2|LMNB1|LTB|PLEK|CXCL5|LST1|PREX1|GRIP2|DGAT2|SLC24A4|APOBEC3A|CD300E|CPB2-AS1,-3.4,0
1,0,-4.9,0,M40154,M10,1,0,Cell Type Signatures,7,DESCARTES FETAL ADRENAL LYMPHOID CELLS,,-4.9,5.1,6.1,30337,163,400,11,2.8,0.82,101|399|4050|6402|8530|8807|9437|9595|27284|115350|222487,ADAM8|RHOH|LTB|SELL|CST7|IL18RAP|NCR1|CYTIP|SULT1B1|FCRL1|ADGRG3,-3.4,0
