_MEMBER_DEGs,_MEMBER_DMRs,_LogP_DEGs,_LogP_DMRs,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,-6.2,0,TRR01275,M10,1,0,TRRUST,34,Regulated by: STAT1,,-6.2,7.9,7.8,30337,96,400,10,2.5,0.78,1230|3162|3383|3553|3586|4318|5743|6347|7378|9021,CCR1|HMOX1|ICAM1|IL1B|IL10|MMP9|PTGS2|CCL2|UPP1|SOCS3,-4.6,0
1,0,-5.9,0,TRR01157,M10,1,0,TRRUST,34,Regulated by: REL,,-5.9,17,9.5,30337,27,400,6,1.5,0.61,597|3383|3553|3586|6347|8870,BCL2A1|ICAM1|IL1B|IL10|CCL2|IER3,-4.3,0
1,0,-5.9,0,TRR01060,M10,1,0,TRRUST,34,Regulated by: PPARA,,-5.9,13,8.7,30337,42,400,7,1.8,0.66,2180|3162|3936|4318|5743|50486|55911,ACSL1|HMOX1|LCP1|MMP9|PTGS2|G0S2|APOBR,-4.3,0
1,0,-5.8,0,TRR00280,M10,1,0,TRRUST,34,Regulated by: ETS1,,-5.8,8.1,7.6,30337,84,400,9,2.2,0.74,1378|1441|2321|3162|4318|5328|7454|7852|8740,CR1|CSF3R|FLT1|HMOX1|MMP9|PLAU|WAS|CXCR4|TNFSF14,-4.2,0
1,0,-5.6,0,TRR00274,M10,1,0,TRRUST,34,Regulated by: ERG,,-5.6,15,9,30337,30,400,6,1.5,0.61,3162|3383|3576|6696|7852|9510,HMOX1|ICAM1|CXCL8|SPP1|CXCR4|ADAMTS1,-4.1,0
1,0,-5,0,TRR00125,M10,1,0,TRRUST,34,Regulated by: CREB1,,-5,6.5,6.5,30337,105,400,9,2.2,0.74,2321|2353|3162|3586|5328|5743|6573|6615|7852,FLT1|FOS|HMOX1|IL10|PLAU|PTGS2|SLC19A1|SNAI1|CXCR4,-3.5,0
1,0,-4.9,0,TRR01282,M10,1,0,TRRUST,34,Regulated by: STAT6,,-4.9,11,7.6,30337,40,400,6,1.5,0.61,1268|2353|2354|3576|5743|7099,CNR1|FOS|FOSB|CXCL8|PTGS2|TLR4,-3.4,0
1,0,-4.3,0,TRR01519,M10,1,0,TRRUST,34,Regulated by: VDR,,-4.3,9.1,6.6,30337,50,400,6,1.5,0.61,793|820|929|3576|3586|81793,CALB1|CAMP|CD14|CXCL8|IL10|TLR10,-2.9,0
1,0,-4.3,0,TRR00484,M10,1,0,TRRUST,34,Regulated by: HIF1A,,-4.3,6.1,5.9,30337,99,400,8,2,0.7,241|1839|3689|5209|5328|6279|6280|7852,ALOX5AP|HBEGF|ITGB2|PFKFB3|PLAU|S100A8|S100A9|CXCR4,-2.9,0
1,0,-4.1,0,TRR01062,M10,1,0,TRRUST,34,Regulated by: PPARG,,-4.1,6.8,5.9,30337,78,400,7,1.8,0.66,3162|3383|4318|5743|9308|55911|56729,HMOX1|ICAM1|MMP9|PTGS2|CD83|APOBR|RETN,-2.7,0
