"","ID","two_clusters"
"ENSG00000273612","ENSG00000273612",1
"ENSG00000273553","ENSG00000273553",1
"ENSG00000273320","ENSG00000273320",1
"ENSG00000273284","ENSG00000273284",1
"ENSG00000273259","ENSG00000273259",1
"ENSG00000273112","ENSG00000273112",1
"ENSG00000273017","ENSG00000273017",1
"ENSG00000273007","ENSG00000273007",1
"ENSG00000273004","ENSG00000273004",1
"ENSG00000272914","ENSG00000272914",1
"ENSG00000272895","ENSG00000272895",1
"ENSG00000272689","ENSG00000272689",1
"ENSG00000272379","ENSG00000272379",1
"ENSG00000272273","ENSG00000272273",1
"ENSG00000272144","ENSG00000272144",1
"ENSG00000272123","ENSG00000272123",1
"ENSG00000271998","ENSG00000271998",1
"ENSG00000271778","ENSG00000271778",1
"ENSG00000271734","ENSG00000271734",1
"ENSG00000271626","ENSG00000271626",1
"ENSG00000271553","ENSG00000271553",1
"ENSG00000271533","ENSG00000271533",1
"ENSG00000271483","ENSG00000271483",1
"ENSG00000271461","ENSG00000271461",1
"ENSG00000271428","ENSG00000271428",1
"ENSG00000271344","ENSG00000271344",1
"ENSG00000271127","ENSG00000271127",1
"ENSG00000271100","ENSG00000271100",1
"ENSG00000271064","ENSG00000271064",1
"ENSG00000271032","ENSG00000271032",1
"ENSG00000270640","ENSG00000270640",1
"ENSG00000270571","ENSG00000270571",1
"ENSG00000270531","ENSG00000270531",1
"ENSG00000270528","ENSG00000270528",1
"ENSG00000270302","ENSG00000270302",1
"ENSG00000270210","ENSG00000270210",1
"ENSG00000270120","ENSG00000270120",1
"ENSG00000270110","ENSG00000270110",1
"ENSG00000270075","ENSG00000270075",1
"ENSG00000270069","ENSG00000270069",1
"ENSG00000270039","ENSG00000270039",1
"ENSG00000270030","ENSG00000270030",1
"ENSG00000269952","ENSG00000269952",1
"ENSG00000269938","ENSG00000269938",1
"ENSG00000269903","ENSG00000269903",1
"ENSG00000269902","ENSG00000269902",1
"ENSG00000269887","ENSG00000269887",1
"ENSG00000269540","ENSG00000269540",1
"ENSG00000269526","ENSG00000269526",1
"ENSG00000269495","ENSG00000269495",1
"ENSG00000269388","ENSG00000269388",1
"ENSG00000269303","ENSG00000269303",1
"ENSG00000269220","ENSG00000269220",1
"ENSG00000268739","ENSG00000268739",1
"ENSG00000268658","ENSG00000268658",1
"ENSG00000268555","ENSG00000268555",1
"ENSG00000268500","ENSG00000268500",1
"ENSG00000268355","ENSG00000268355",1
"ENSG00000268257","ENSG00000268257",1
"ENSG00000268240","ENSG00000268240",1
"ENSG00000268170","ENSG00000268170",1
"ENSG00000267943","ENSG00000267943",1
"ENSG00000267879","ENSG00000267879",1
"ENSG00000267780","ENSG00000267780",1
"ENSG00000267777","ENSG00000267777",1
"ENSG00000267607","ENSG00000267607",1
"ENSG00000267432","ENSG00000267432",1
"ENSG00000267293","ENSG00000267293",1
"ENSG00000267109","ENSG00000267109",1
"ENSG00000267052","ENSG00000267052",1
"ENSG00000266971","ENSG00000266971",1
"ENSG00000266970","ENSG00000266970",1
"ENSG00000266877","ENSG00000266877",1
"ENSG00000266698","ENSG00000266698",1
"ENSG00000266421","ENSG00000266421",1
"ENSG00000266401","ENSG00000266401",1
"ENSG00000266389","ENSG00000266389",1
"ENSG00000266378","ENSG00000266378",1
"ENSG00000266289","ENSG00000266289",1
"ENSG00000265975","ENSG00000265975",1
"ENSG00000265733","ENSG00000265733",1
"ENSG00000265625","ENSG00000265625",1
"ENSG00000265527","ENSG00000265527",1
"ENSG00000265201","ENSG00000265201",1
"ENSG00000264678","ENSG00000264678",1
"ENSG00000264169","ENSG00000264169",1
"ENSG00000263813","ENSG00000263813",1
"ENSG00000263427","ENSG00000263427",1
"ENSG00000263177","ENSG00000263177",1
"ENSG00000262999","ENSG00000262999",1
"ENSG00000262898","ENSG00000262898",1
"ENSG00000262636","ENSG00000262636",1
"ENSG00000262516","ENSG00000262516",1
"ENSG00000262133","ENSG00000262133",1
"ENSG00000262119","ENSG00000262119",1
"ENSG00000261646","ENSG00000261646",1
"ENSG00000261596","ENSG00000261596",1
"ENSG00000261573","ENSG00000261573",1
"ENSG00000261468","ENSG00000261468",1
"ENSG00000261245","ENSG00000261245",1
"ENSG00000261229","ENSG00000261229",1
"ENSG00000261208","ENSG00000261208",1
"ENSG00000261156","ENSG00000261156",1
"ENSG00000261087","ENSG00000261087",1
"ENSG00000261055","ENSG00000261055",1
"ENSG00000261026","ENSG00000261026",1
"ENSG00000261024","ENSG00000261024",1
"ENSG00000260990","ENSG00000260990",1
"ENSG00000260971","ENSG00000260971",1
"ENSG00000260910","ENSG00000260910",1
"ENSG00000260896","ENSG00000260896",1
"ENSG00000260861","ENSG00000260861",1
"ENSG00000260660","ENSG00000260660",1
"ENSG00000260585","ENSG00000260585",1
"ENSG00000260515","ENSG00000260515",1
"ENSG00000260507","ENSG00000260507",1
"ENSG00000260466","ENSG00000260466",1
"ENSG00000260398","ENSG00000260398",1
"ENSG00000260368","ENSG00000260368",1
"ENSG00000260337","ENSG00000260337",1
"ENSG00000260314","ENSG00000260314",1
"ENSG00000260234","ENSG00000260234",1
"ENSG00000260194","ENSG00000260194",1
"ENSG00000260161","ENSG00000260161",1
"ENSG00000260135","ENSG00000260135",1
"ENSG00000260078","ENSG00000260078",1
"ENSG00000260033","ENSG00000260033",1
"ENSG00000259950","ENSG00000259950",1
"ENSG00000259912","ENSG00000259912",1
"ENSG00000259871","ENSG00000259871",1
"ENSG00000259671","ENSG00000259671",1
"ENSG00000259656","ENSG00000259656",1
"ENSG00000259651","ENSG00000259651",1
"ENSG00000259626","ENSG00000259626",1
"ENSG00000259600","ENSG00000259600",1
"ENSG00000259571","ENSG00000259571",1
"ENSG00000259561","ENSG00000259561",1
"ENSG00000259505","ENSG00000259505",1
"ENSG00000259379","ENSG00000259379",1
"ENSG00000259374","ENSG00000259374",1
"ENSG00000259309","ENSG00000259309",1
"ENSG00000259293","ENSG00000259293",1
"ENSG00000259245","ENSG00000259245",1
"ENSG00000259207","ENSG00000259207",1
"ENSG00000259205","ENSG00000259205",1
"ENSG00000259182","ENSG00000259182",1
"ENSG00000259007","ENSG00000259007",1
"ENSG00000258964","ENSG00000258964",1
"ENSG00000258928","ENSG00000258928",1
"ENSG00000258921","ENSG00000258921",1
"ENSG00000258867","ENSG00000258867",1
"ENSG00000258831","ENSG00000258831",1
"ENSG00000258826","ENSG00000258826",1
"ENSG00000258785","ENSG00000258785",1
"ENSG00000258761","ENSG00000258761",1
"ENSG00000258754","ENSG00000258754",1
"ENSG00000258702","ENSG00000258702",1
"ENSG00000258694","ENSG00000258694",1
"ENSG00000258676","ENSG00000258676",1
"ENSG00000258667","ENSG00000258667",1
"ENSG00000258647","ENSG00000258647",1
"ENSG00000258623","ENSG00000258623",1
"ENSG00000258512","ENSG00000258512",1
"ENSG00000258476","ENSG00000258476",1
"ENSG00000258407","ENSG00000258407",1
"ENSG00000258316","ENSG00000258316",1
"ENSG00000258308","ENSG00000258308",1
"ENSG00000258227","ENSG00000258227",1
"ENSG00000258082","ENSG00000258082",1
"ENSG00000258035","ENSG00000258035",1
"ENSG00000257979","ENSG00000257979",1
"ENSG00000257835","ENSG00000257835",1
"ENSG00000257802","ENSG00000257802",1
"ENSG00000257743","ENSG00000257743",1
"ENSG00000257681","ENSG00000257681",1
"ENSG00000257643","ENSG00000257643",1
"ENSG00000257496","ENSG00000257496",1
"ENSG00000257284","ENSG00000257284",1
"ENSG00000257277","ENSG00000257277",1
"ENSG00000257226","ENSG00000257226",1
