"","Mast.Cells","Inflammatory.Macrophages","HOPX.high.Squamous.Cells","Basal.Cells","AZGP1.SCGB3A1.LTF.high.Goblet.Cells","Interferon.Responsive.Secretory.Cells","ITGAX.high.Macrophages","Interferon.Responsive.Cytotoxic.CD8.T.Cells","VEGFA.high.Squamous.Cells","Interferon.Responsive.Ciliated.Cells"
"ENSG00000170776",0.718181818181818,0.644386076225593,-0.678927655161256,0.657889186579459,-0.287495326316034,-0.774489480882949,0.739734947266784,0.339463827580628,0.648354560687003,-0.581818181818182
"ENSG00000170779",0.627272727272727,0.748479211615881,-0.256891545196151,0.715096941934194,-0.693954235935254,-0.387244740441474,0.721125263058815,0.440385506050544,0.67695843836437,-0.581818181818182
"ENSG00000170786",0.618181818181818,0.654299708167525,-0.706451749289415,0.858116330321033,-0.441156621415983,-0.769933660407167,0.804868841994677,0.376162619751506,0.858116330321033,-0.618181818181818
"ENSG00000170788",-0.763636363636364,-0.81291781923844,0.541307184520461,-0.800908574966298,0.574990652632067,0.605924123279013,-0.856045473566593,-0.348638525623348,-0.839047078536121,0.754545454545455
"ENSG00000170802",0.709090909090909,0.827788267151338,-0.816548125802051,0.829512452643665,-0.371761197822457,-0.8883849927775,0.665296210434907,0.412861411922385,0.829512452643665,-0.745454545454545
"ENSG00000170832",0.781818181818182,0.753436027586847,-0.623879466904938,0.629285308902091,-0.247840798548305,-0.769933660407167,0.87000273672257,0.27524094128159,0.648354560687003,-0.881818181818182
"ENSG00000170836",0.745454545454545,0.783176923412643,-0.669752957118536,0.848581704428577,-0.52046567695144,-0.769933660407167,0.762997052526746,0.311939733452469,0.867650956213489,-0.881818181818182
"ENSG00000170837",0.827272727272727,0.852572347006169,-0.504608392349582,0.696027690149282,-0.644386076225593,-0.574033379948539,0.721125263058815,0.55048188256318,0.696027690149282,-0.609090909090909
"ENSG00000170852",0.718181818181818,0.81291781923844,-0.495433694306862,0.839047078536121,-0.574990652632067,-0.601368302803231,0.883959999878547,0.357813223666067,0.839047078536121,-0.727272727272727
"ENSG00000170909",0.627272727272727,0.639429260254627,-0.385337317794226,0.791373949073842,-0.817874635209406,-0.492028611384462,0.781606736734716,0.660578259075816,0.791373949073842,-0.554545454545455
"ENSG00000170956",0.554545454545455,0.693954235935254,-0.29359033736703,0.667423812471915,-0.758392843557813,-0.359909817586782,0.693210736746861,0.761499937545733,0.67695843836437,-0.427272727272727
"ENSG00000170959",-0.627272727272727,-0.713781499819118,0.412861411922385,-0.753235445504018,0.778220107441677,0.48747279090868,-0.828130947254639,-0.513783090392302,-0.77230469728893,0.636363636363636
"ENSG00000170961",0.554545454545455,0.783176923412643,-0.56883127864862,0.696027690149282,-0.361847565880525,-0.587700841375885,0.502461473615174,0.302765035409749,0.667423812471915,-0.563636363636364
"ENSG00000170989",0.727272727272727,0.639429260254627,-0.504608392349582,0.810443200858753,-0.703867867877186,-0.628703225657923,0.762997052526746,0.422036109965105,0.810443200858753,-0.8
"ENSG00000171044",0.609090909090909,0.783176923412643,-0.495433694306862,0.915324085675769,-0.768306475499745,-0.596812482327449,0.628076842018968,0.733975843417574,0.877185582105945,-0.581818181818182
"ENSG00000171049",0.654545454545455,0.649342892196559,-0.348638525623348,0.800908574966298,-0.807961003267474,-0.451026227102423,0.846740631462608,0.596355372776779,0.819977826751209,-0.6
"ENSG00000171051",0.654545454545455,0.649342892196559,-0.348638525623348,0.800908574966298,-0.807961003267474,-0.451026227102423,0.846740631462608,0.596355372776779,0.819977826751209,-0.6
"ENSG00000171160",-0.654545454545455,-0.827788267151338,0.752325239503013,-0.734166193719106,0.237927166606373,0.870161710874372,-0.758344631474754,-0.339463827580628,-0.734166193719106,0.854545454545455
"ENSG00000171195",0.372727272727273,0.69891105190622,-0.449560204093264,0.839047078536121,-0.669170156080423,-0.587700841375885,0.707167999902838,0.733975843417574,0.819977826751209,-0.690909090909091
"ENSG00000171208",0.654545454545455,0.619601996370762,-0.449560204093264,0.753235445504018,-0.743522395644915,-0.596812482327449,0.744387368318777,0.578005976691339,0.753235445504018,-0.736363636363636
"ENSG00000171223",0.709090909090909,0.822831451180372,-0.477084298221423,0.734166193719106,-0.728651947732016,-0.523919354714936,0.7304301051628,0.623879466904938,0.753235445504018,-0.563636363636364
"ENSG00000171236",0.663636363636364,0.674126972051389,-0.28441563932431,0.705562316041738,-0.703867867877186,-0.337130715207872,0.7304301051628,0.513783090392302,0.72463156782665,-0.445454545454545
"ENSG00000171241",0.427272727272727,0.426286173503084,-0.183493960854393,0.543473675869988,-0.198272638838644,-0.414579663296167,0.772301894630731,-0.00917469804271967,0.457662042837884,-0.627272727272727
"ENSG00000171295",-0.5,-0.72369513176105,0.357813223666067,-0.781839323181386,0.862485978948101,0.441914586150859,-0.749039789370769,-0.733975843417574,-0.781839323181386,0.545454545454545
"ENSG00000171310",0.681818181818182,0.629515628312694,-0.495433694306862,0.67695843836437,-0.386631645735356,-0.592256661851667,0.87000273672257,0.330289129537908,0.705562316041738,-0.636363636363636
"ENSG00000171314",0.681818181818182,0.72369513176105,-0.394512015836946,0.800908574966298,-0.822831451180372,-0.496584431860244,0.814173684098662,0.513783090392302,0.800908574966298,-0.654545454545455
"ENSG00000171320",0.654545454545455,0.664213340109457,-0.394512015836946,0.819977826751209,-0.589861100544966,-0.592256661851667,0.776954315682723,0.339463827580628,0.77230469728893,-0.827272727272727
"ENSG00000171368",-0.6,-0.793090555354576,0.678927655161256,-0.734166193719106,0.386631645735356,0.724375455649346,-0.795563999890693,-0.394512015836946,-0.734166193719106,0.618181818181818
"ENSG00000171401",0.518181818181818,0.510552045009508,-0.256891545196151,0.839047078536121,-0.847615531035203,-0.410023842820385,0.683905894642876,0.56883127864862,0.819977826751209,-0.572727272727273
"ENSG00000171428",-0.381818181818182,-0.579947468603033,0.256891545196151,-0.686493064256826,0.758392843557813,0.346242356159436,-0.669948631486899,-0.715626447332134,-0.667423812471915,0.345454545454545
"ENSG00000171475",0.445454545454545,0.52046567695144,-0.192668658897113,0.667423812471915,-0.852572347006169,-0.314351612828962,0.646686526226937,0.743150541460293,0.667423812471915,-0.463636363636364
"ENSG00000171476",0.554545454545455,0.679083788022355,-0.357813223666067,0.886720207998401,-0.817874635209406,-0.492028611384462,0.688558315694868,0.605530070819498,0.877185582105945,-0.672727272727273
"ENSG00000171488",0.772727272727273,0.733608763702982,-0.495433694306862,0.848581704428577,-0.475854333212745,-0.66514978946418,0.865350315670578,0.311939733452469,0.810443200858753,-0.818181818181818
"ENSG00000171522",0.818181818181818,0.81291781923844,-0.816548125802051,0.67695843836437,-0.237927166606373,-0.906608274680628,0.697863157798853,0.330289129537908,0.715096941934194,-0.9
"ENSG00000171533",-0.8,-0.817874635209406,0.761499937545733,-0.743700819611562,0.376718013793423,0.84282678801968,-0.744387368318777,-0.26606624323887,-0.762770071396474,0.854545454545455
"ENSG00000171574",-0.645454545454545,-0.758392843557813,0.614704768862218,-0.886720207998401,0.475854333212745,0.724375455649346,-0.851393052514601,-0.27524094128159,-0.886720207998401,0.836363636363636
"ENSG00000171595",-0.672727272727273,-0.817874635209406,0.706451749289415,-0.667423812471915,0.287495326316034,0.788156942310295,-0.80952126304667,-0.302765035409749,-0.686493064256826,0.8
"ENSG00000171608",0.527272727272727,0.485767965154678,-0.26606624323887,0.553008301762444,-0.693954235935254,-0.318907433304744,0.581552631499044,0.669752957118536,0.600681431224723,-0.381818181818182
"ENSG00000171631",0.681818181818182,0.674126972051389,-0.578005976691339,0.858116330321033,-0.624558812341728,-0.605924123279013,0.800216420942685,0.256891545196151,0.886720207998401,-0.618181818181818
"ENSG00000171643",0.798198729716611,0.515257693286079,-0.546296296296296,0.558105260216638,-0.395197648248546,-0.602313174482834,0.619779786800912,0.305555555555556,0.586972773676119,-0.477084298221423
"ENSG00000171700",0.709090909090909,0.649342892196559,-0.394512015836946,0.800908574966298,-0.817874635209406,-0.48747279090868,0.804868841994677,0.596355372776779,0.819977826751209,-0.590909090909091
"ENSG00000171711",0.536363636363636,0.460983885299847,-0.440385506050544,0.762770071396474,-0.624558812341728,-0.48747279090868,0.828130947254639,0.247716847153431,0.800908574966298,-0.545454545454545
"ENSG00000171757",-0.563636363636364,-0.589861100544966,0.403686713879666,-0.762770071396474,0.803004187296508,0.478361149957115,-0.702515578850845,-0.614704768862218,-0.753235445504018,0.436363636363636
"ENSG00000171763",0.7,0.83770189909327,-0.513783090392302,0.715096941934194,-0.545249756806271,-0.619591584706359,0.655991368330922,0.422036109965105,0.667423812471915,-0.654545454545455
"ENSG00000171777",0.636363636363636,0.718738315790084,-0.357813223666067,0.800908574966298,-0.83770189909327,-0.432802945199295,0.804868841994677,0.651403561033097,0.819977826751209,-0.554545454545455
"ENSG00000171786",0.5,0.783176923412643,-0.467909600178703,0.800908574966298,-0.684040603993321,-0.542142636618064,0.665296210434907,0.807373427759331,0.762770071396474,-0.436363636363636
"ENSG00000171798",-0.645454545454545,-0.639429260254627,0.56883127864862,-0.686493064256826,0.411415725590186,0.633259046133705,-0.874655157774563,-0.192668658897113,-0.715096941934194,0.672727272727273
"ENSG00000171811",-0.509090909090909,-0.599774732486898,0.513783090392302,-0.734166193719106,0.366804381851491,0.596812482327449,-0.860697894618586,-0.100921678469916,-0.77230469728893,0.772727272727273
"ENSG00000171815",-0.363636363636364,-0.550206572777237,0.339463827580628,-0.705562316041738,0.882313242831965,0.37813309948991,-0.548985684135098,-0.733975843417574,-0.705562316041738,0.381818181818182
"ENSG00000171848",0.609090909090909,0.565077020690135,-0.394512015836946,0.886720207998401,-0.827788267151338,-0.5330309956665,0.707167999902838,0.504608392349582,0.858116330321033,-0.636363636363636
"ENSG00000171853",-0.7,-0.817874635209406,0.743150541460293,-0.667423812471915,0.257754430490237,0.833715147068116,-0.786259157786708,-0.28441563932431,-0.686493064256826,0.845454545454546
"ENSG00000171860",0.645454545454545,0.619601996370762,-0.467909600178703,0.877185582105945,-0.877356426860999,-0.537586816142282,0.739734947266784,0.605530070819498,0.915324085675769,-0.654545454545455
"ENSG00000171862",0.8,0.822831451180372,-0.532132486477741,0.781839323181386,-0.485767965154678,-0.660593968988398,0.87000273672257,0.29359033736703,0.800908574966298,-0.881818181818182
"ENSG00000171940",0.781818181818182,0.793090555354576,-0.724801145374854,0.877185582105945,-0.535336124864339,-0.774489480882949,0.735082526214792,0.339463827580628,0.915324085675769,-0.8
"ENSG00000171962",-0.745454545454545,-0.783176923412643,0.623879466904938,-0.819977826751209,0.485767965154678,0.724375455649346,-0.851393052514601,-0.238542149110711,-0.839047078536121,0.863636363636364
"ENSG00000171988",0.781818181818182,0.847615531035203,-0.678927655161256,0.696027690149282,-0.302365774228932,-0.810936044689205,0.781606736734716,0.311939733452469,0.696027690149282,-0.872727272727273
"ENSG00000172005",0.336363636363636,0.614645180399796,-0.183493960854393,0.800908574966298,-0.83770189909327,-0.328019074256308,0.669948631486899,0.706451749289415,0.781839323181386,-0.554545454545455
"ENSG00000172007",0.563636363636364,0.688997419964288,-0.743150541460293,0.743700819611562,-0.356890749909559,-0.838270967543897,0.674601052538891,0.532132486477741,0.781839323181386,-0.818181818181818
"ENSG00000172081",0.627272727272727,0.649342892196559,-0.357813223666067,0.762770071396474,-0.852572347006169,-0.460137868053987,0.749039789370769,0.724801145374854,0.781839323181386,-0.590909090909091
"ENSG00000172216",0.545454545454545,0.768306475499745,-0.311939733452469,0.657889186579459,-0.832745083122304,-0.382688919965692,0.600162315707014,0.807373427759331,0.686493064256826,-0.572727272727273
"ENSG00000172243",0.790909090909091,0.649342892196559,-0.614704768862218,0.686493064256826,-0.401502093648254,-0.73348709660091,0.832783368306631,0.376162619751506,0.705562316041738,-0.727272727272727
"ENSG00000172250",-0.654545454545455,-0.570033836661101,0.541307184520461,-0.619750683009635,0.436199805445017,0.633259046133705,-0.842088210410616,-0.247716847153431,-0.648354560687003,0.7
