Geneid	ICU_06	ICU_25	ICU_26	ICU_27	NON_07	NON_19	NON_20	NON_22	NON_23	NON_26	NON_28
ENSG00000100324	707	308	264	697	828	762	470	856	835	822	660
ENSG00000100325	2597	1134	2307	3345	1782	2708	1383	2945	2274	5487	1736
ENSG00000100330	1101	396	497	790	694	1058	558	1252	846	488	733
ENSG00000100335	1279	1057	647	846	1078	1252	775	1474	956	796	1122
ENSG00000100336	564	352	366	212	272	681	443	995	933	252	1087
ENSG00000100341	0	0	0	0	0	0	0	2	0	0	0
ENSG00000100342	3159	3890	2199	3616	3308	4558	1950	4006	9158	2880	4873
ENSG00000100344	4	8	24	4	8	6	4	2	0	2	5
ENSG00000100345	11009	8893	17535	23499	6409	5424	2441	4893	5771	7329	4060
ENSG00000100346	22	0	0	22	10	16	20	60	12	0	8
ENSG00000100347	1312	805	655	1142	1447	2293	746	1615	1589	2733	991
ENSG00000100348	3574	1713	1304	2758	3079	3510	2218	4057	3628	6301	3012
ENSG00000100350	196	81	112	152	130	307	58	150	110	192	82
ENSG00000100351	85	4	2	52	25	74	12	50	178	12	52
ENSG00000100353	5554	3901	3955	6051	5618	7124	3437	6567	6811	9726	5183
ENSG00000100354	2325	1372	1083	1871	1692	1799	1867	2793	2115	993	1950
ENSG00000100359	172	91	60	210	165	353	180	333	422	296	145
ENSG00000100360	3173	886	240	2039	4207	6528	4327	8602	7020	10736	4526
ENSG00000100362	2	0	0	0	0	0	0	2	0	0	0
ENSG00000100364	2492	1633	1906	2356	2305	1785	1767	3493	2478	4389	2449
ENSG00000100365	5527	2570	7295	12395	554	1685	125	189	364	310	84
ENSG00000100368	14697	2376	9952	35314	528	2176	106	114	462	188	92
ENSG00000100372	1649	1140	409	808	1448	1587	1257	2218	1526	1112	1511
ENSG00000100373	8	4	0	14	0	18	4	2	0	10	0
ENSG00000100376	3184	674	329	526	3968	1087	673	1420	1445	914	819
ENSG00000100379	651	153	116	458	507	418	172	507	235	1067	275
ENSG00000100380	11500	6383	3317	7231	9554	7206	9293	15177	11774	12751	10027
ENSG00000100385	532	68	34	144	410	152	88	252	296	34	454
