ID,SYMBOL,ICUvsNON_LFC,ICUvsNON_FDR
ENSG00000149781,FERMT3,4.309558028,0.000347676
ENSG00000155926,SLA,3.999588813,0.000347676
ENSG00000173083,HPSE,2.778812471,0.000347676
ENSG00000173334,TRIB1,2.899523654,0.000347676
ENSG00000173391,OLR1,4.946228104,0.000347676
ENSG00000187037,GPR141,3.641916913,0.000347676
ENSG00000225873,LINC00694,3.469875645,0.000347676
ENSG00000268500,AC018755.18,5.984070227,0.000347676
ENSG00000075884,ARHGAP15,3.863938177,0.000361679
ENSG00000136167,LCP1,5.11588202,0.000361679
ENSG00000141506,PIK3R5,4.947589013,0.000361679
ENSG00000165168,CYBB,2.673086945,0.000361679
ENSG00000068831,RASGRP2,3.884977297,0.000363173
ENSG00000100368,CSF2RB,5.525224606,0.000363173
ENSG00000005020,SKAP2,3.282207854,0.000363903
ENSG00000130775,THEMIS2,4.140198527,0.000365838
ENSG00000140932,CMTM2,5.642276842,0.000365838
ENSG00000011600,TYROBP,3.525411164,0.0003699
ENSG00000144802,NFKBIZ,2.650507711,0.000370195
ENSG00000000938,FGR,5.611606432,0.000376536
ENSG00000140030,GPR65,5.321058487,0.00038344
ENSG00000218073,RP1-13D10.2,5.45124598,0.00038344
ENSG00000127946,HIP1,2.825330427,0.00038396
ENSG00000135074,ADAM19,3.500318331,0.00038396
ENSG00000135919,SERPINE2,3.947782798,0.00038396
ENSG00000139278,GLIPR1,2.613908514,0.00038396
ENSG00000178726,THBD,4.187284232,0.00038396
ENSG00000169385,RNASE2,2.913444825,0.000388121
ENSG00000066336,SPI1,5.076120027,0.000388993
ENSG00000109743,BST1,2.696267598,0.000388993
ENSG00000120063,GNA13,1.701765706,0.000388993
ENSG00000120949,TNFRSF8,5.580772684,0.000388993
ENSG00000121966,CXCR4,4.000723502,0.000388993
ENSG00000122122,SASH3,3.595140507,0.000388993
ENSG00000167851,CD300A,4.086436137,0.000388993
ENSG00000180953,ST20,2.352700351,0.000388993
ENSG00000184588,PDE4B,5.280178239,0.000388993
ENSG00000230257,NFE4,4.823340143,0.000388993
ENSG00000103313,MEFV,5.986870474,0.000395637
ENSG00000120594,PLXDC2,2.270902276,0.000395637
ENSG00000128340,RAC2,4.50642906,0.000395637
ENSG00000147408,CSGALNACT1,2.754105022,0.000395637
ENSG00000154734,ADAMTS1,4.836579842,0.000395637
ENSG00000183019,MCEMP1,6.647160927,0.000395637
ENSG00000222009,BTBD19,3.758410863,0.000395637
ENSG00000226380,MIR29A,4.360071751,0.000395637
ENSG00000250687,RP11-497H16.7,5.032343632,0.000395637
ENSG00000086300,SNX10,3.074418589,0.000406916
ENSG00000010671,BTK,3.083154116,0.000409097
ENSG00000100644,HIF1A,3.242585877,0.000409097
ENSG00000015285,WAS,4.427306273,0.000410809
ENSG00000153310,FAM49B,2.323524876,0.000410809
ENSG00000243273,RP11-166N6.2,5.836477311,0.000410809
ENSG00000008516,MMP25,5.27523528,0.00041101
ENSG00000147168,IL2RG,3.506420761,0.00041101
ENSG00000116701,NCF2,3.289175133,0.000414173
ENSG00000008438,PGLYRP1,7.050820187,0.000420683
ENSG00000118113,MMP8,7.307343317,0.000420683
ENSG00000148926,ADM,4.355591917,0.000420683
ENSG00000174123,TLR10,3.988729002,0.000420683
ENSG00000184221,OLIG1,5.227489836,0.000420683
ENSG00000081320,STK17B,2.097302808,0.000421862
ENSG00000102393,GLA,2.388941681,0.000421862
ENSG00000111052,LIN7A,3.772685553,0.000421862
ENSG00000112195,TREML2,6.251854878,0.000421862
ENSG00000115607,IL18RAP,4.780932397,0.000421862
ENSG00000123610,TNFAIP6,5.763492904,0.000421862
ENSG00000124882,EREG,6.098728714,0.000421862
ENSG00000125910,S1PR4,3.647737794,0.000421862
ENSG00000137331,IER3,4.24557793,0.000421862
ENSG00000139572,GPR84,6.289747179,0.000421862
ENSG00000163754,GYG1,1.625471644,0.000421862
ENSG00000163823,CCR1,4.571555609,0.000421862
ENSG00000185862,EVI2B,4.283549031,0.000421862
ENSG00000188305,C19orf35,3.992191205,0.000421862
ENSG00000204577,LILRB3,5.424793245,0.000421862
ENSG00000241157,RP11-3K24.1,6.136919444,0.000421862
ENSG00000279227,AC009303.2,3.69001073,0.000421862
ENSG00000249437,NAIP,3.272725352,0.000426566
ENSG00000100985,MMP9,6.48560258,0.000433084
ENSG00000171700,RGS19,2.733357736,0.000433084
ENSG00000204482,LST1,3.911223484,0.000434298
ENSG00000143226,FCGR2A,4.859360235,0.000434656
ENSG00000136404,TM6SF1,3.835207114,0.000435883
ENSG00000140368,PSTPIP1,3.667751797,0.000436177
ENSG00000170525,PFKFB3,4.205767383,0.000436177
ENSG00000216490,IFI30,4.83467202,0.000436177
ENSG00000059377,TBXAS1,3.581589974,0.000436262
ENSG00000142347,MYO1F,4.651988938,0.00043649
ENSG00000238266,LINC00707,4.284197676,0.00043649
ENSG00000135241,PNPLA8,1.890608204,0.0004378
ENSG00000158517,NCF1,4.853501958,0.000440928
ENSG00000170956,CEACAM3,5.390241881,0.000444653
ENSG00000171051,FPR1,6.119957798,0.000449864
ENSG00000213694,S1PR3,3.653970008,0.000449864
ENSG00000101187,SLCO4A1,4.344180831,0.000452478
ENSG00000140678,ITGAX,6.016617918,0.000452478
ENSG00000182885,ADGRG3,6.285896479,0.000452478
ENSG00000183621,ZNF438,3.038447408,0.000452478
ENSG00000186431,FCAR,7.800406889,0.000452478
ENSG00000169429,CXCL8,5.259400299,0.000458106
ENSG00000181631,P2RY13,4.736219945,0.000458106
ENSG00000081041,CXCL2,3.461132853,0.000458301
ENSG00000204420,C6orf25,5.89700508,0.000458301
ENSG00000102445,RUBCNL,5.058526108,0.000460542
ENSG00000187116,LILRA5,5.362521114,0.0004629
ENSG00000085265,FCN1,5.980642292,0.000463235
ENSG00000110876,SELPLG,2.90979197,0.000463235
ENSG00000134070,IRAK2,3.602639047,0.000463235
ENSG00000169826,CSGALNACT2,3.031876356,0.000463235
ENSG00000186847,KRT14,7.298674934,0.000463235
ENSG00000227591,RP1-28O10.1,3.414833166,0.000463235
ENSG00000153179,RASSF3,2.114651851,0.000465153
ENSG00000152784,PRDM8,3.704771653,0.000467865
ENSG00000104894,CD37,3.729928594,0.000478048
ENSG00000135334,AKIRIN2,1.830527441,0.000479597
ENSG00000152229,PSTPIP2,2.623124421,0.000483217
ENSG00000235568,NFAM1,4.745998419,0.000489246
ENSG00000059804,SLC2A3,6.252198457,0.000495701
ENSG00000105835,NAMPT,4.342549547,0.000495701
ENSG00000150048,CLEC1A,3.51880373,0.000495701
ENSG00000162511,LAPTM5,3.581211496,0.000495701
ENSG00000101336,HCK,4.950271516,0.000497907
ENSG00000132965,ALOX5AP,5.33398364,0.000499545
ENSG00000162783,IER5,2.432460366,0.000505049
ENSG00000184922,FMNL1,4.357807484,0.00051072
ENSG00000268658,LINC00664,3.899723469,0.000513483
ENSG00000165997,ARL5B,1.935645496,0.000514744
ENSG00000092929,UNC13D,3.32608815,0.000550877
ENSG00000112715,VEGFA,2.783459872,0.000550877
ENSG00000117091,CD48,3.265510102,0.000550877
ENSG00000124466,LYPD3,4.325112423,0.000550877
ENSG00000138964,PARVG,2.853211934,0.000550877
ENSG00000140379,BCL2A1,5.743804406,0.000550877
ENSG00000175556,LONRF3,2.859423094,0.000550877
ENSG00000103196,CRISPLD2,3.206036633,0.000553186
ENSG00000140199,SLC12A6,2.56194381,0.000553186
ENSG00000197405,C5AR1,3.786550438,0.000553186
ENSG00000103257,SLC7A5,4.625088293,0.000555199
ENSG00000198053,SIRPA,3.881601137,0.000555199
ENSG00000135838,NPL,2.200453736,0.000562773
ENSG00000216364,MRPL42P2,4.592678984,0.000563313
ENSG00000146112,PPP1R18,4.304123175,0.000569518
ENSG00000160999,SH2B2,4.927770206,0.000569857
ENSG00000126262,FFAR2,5.567885216,0.000573836
ENSG00000127507,ADGRE2,4.815748372,0.000585953
ENSG00000151651,ADAM8,4.287434249,0.000588631
ENSG00000162704,ARPC5,1.465125987,0.000590993
ENSG00000241163,LINC00877,4.86337464,0.000590993
ENSG00000102879,CORO1A,3.326372061,0.000595378
ENSG00000271605,MILR1,2.891541009,0.000595378
ENSG00000172081,MOB3A,3.460969052,0.00059644
ENSG00000148516,ZEB1,2.834524141,0.000597844
ENSG00000162747,FCGR3B,5.624039114,0.000597844
ENSG00000184730,APOBR,3.863591445,0.000597844
ENSG00000172243,CLEC7A,4.180392261,0.000608826
ENSG00000268170,RP11-556I13.2,5.824734569,0.000608826
ENSG00000279166,RP11-107E5.3,5.35894561,0.000608826
ENSG00000146592,CREB5,3.91038353,0.000608862
ENSG00000115956,PLEK,5.686928169,0.000612648
ENSG00000128590,DNAJB9,1.558343439,0.000615506
ENSG00000233431,RP11-63N8.3,4.605442163,0.00061878
ENSG00000105851,PIK3CG,2.831213613,0.000620578
ENSG00000159399,HK2,1.500296131,0.000620578
ENSG00000011422,PLAUR,5.368735083,0.000623361
ENSG00000136869,TLR4,3.736105044,0.000623361
ENSG00000166501,PRKCB,3.000824106,0.000623361
ENSG00000175489,LRRC25,4.637017559,0.000623361
ENSG00000105509,HAS1,5.864376159,0.000624804
ENSG00000134755,DSC2,3.609110047,0.00062555
ENSG00000137757,CASP5,4.222512951,0.00062555
ENSG00000144655,CSRNP1,3.855908888,0.00062555
ENSG00000151948,GLT1D1,5.787597982,0.000628511
ENSG00000079277,MKNK1,1.82298704,0.000630911
ENSG00000095794,CREM,2.491871803,0.000630911
ENSG00000112096,SOD2,3.530603723,0.000630911
ENSG00000118432,CNR1,5.482465611,0.000630911
ENSG00000129450,SIGLEC9,4.887018197,0.000630911
ENSG00000134516,DOCK2,3.469493525,0.000630911
ENSG00000151726,ACSL1,3.597328047,0.000630911
ENSG00000163421,PROK2,6.397156513,0.000630911
ENSG00000204421,LY6G6C,4.780280813,0.000630911
ENSG00000237927,RP3-393E18.2,5.973285414,0.000630911
ENSG00000167434,CA4,6.236770886,0.000633142
ENSG00000170832,USP32,2.202945908,0.000633142
ENSG00000183688,FAM101B,3.085559885,0.000633142
ENSG00000188215,DCUN1D3,2.476742017,0.000633142
ENSG00000177105,RHOG,3.287375761,0.000640431
ENSG00000197249,SERPINA1,4.665907867,0.000641658
ENSG00000103187,COTL1,3.496168494,0.000643413
ENSG00000267121,CTD-2020K17.1,2.981147658,0.000643413
ENSG00000198814,GK,2.664363866,0.000650221
ENSG00000202019,Y_RNA,4.366163205,0.000650221
ENSG00000287189,NA,-2.657246322,0.000651044
ENSG00000188906,LRRK2,3.384543042,0.000655101
ENSG00000281162,LINC01127,3.831678488,0.000655101
ENSG00000274536,MIR223,4.141784134,0.000658031
ENSG00000105639,JAK3,3.708307285,0.000661282
ENSG00000115590,IL1R2,5.145946238,0.000662998
ENSG00000184014,DENND5A,3.335435498,0.000673794
ENSG00000062282,DGAT2,4.567613729,0.000676394
ENSG00000267174,CTC-510F12.4,3.423640602,0.000676394
ENSG00000255443,RP1-68D18.4,5.050098671,0.000676597
ENSG00000173281,PPP1R3B,2.862221381,0.000682094
ENSG00000124731,TREM1,6.377513951,0.000684982
ENSG00000161638,ITGA5,5.260786825,0.000684982
ENSG00000100906,NFKBIA,2.960501694,0.000691006
ENSG00000136689,IL1RN,4.893863972,0.000691124
ENSG00000072401,UBE2D1,1.666229113,0.000692808
ENSG00000119508,NR4A3,3.34551197,0.000703046
ENSG00000125735,TNFSF14,3.774810249,0.000703046
ENSG00000162510,MATN1,5.480374259,0.000703046
ENSG00000273837,LLNLR-470E3.1,4.03112451,0.000703748
ENSG00000123342,MMP19,5.549897449,0.00070455
ENSG00000072786,STK10,2.787602741,0.000705342
ENSG00000188056,TREML4,5.805881445,0.000705342
ENSG00000136630,HLX,4.019560488,0.000722341
ENSG00000114547,ROPN1B,-2.296651716,0.000723768
ENSG00000163806,SPDYA,2.308078916,0.000723768
ENSG00000170775,GPR37,3.170545852,0.000725513
ENSG00000147065,MSN,2.860229591,0.000731513
ENSG00000257335,MGAM,4.209109215,0.000741767
ENSG00000101307,SIRPB1,5.487286045,0.000750596
ENSG00000225231,AC091814.2,6.729793138,0.000760196
ENSG00000137462,TLR2,3.531147291,0.000767952
ENSG00000057704,TMCC3,4.109000334,0.000777965
ENSG00000009790,TRAF3IP3,3.324195688,0.000787181
ENSG00000115271,GCA,2.740316333,0.00078864
ENSG00000167604,NFKBID,3.448623807,0.00078864
ENSG00000110934,BIN2,3.520227383,0.000794388
ENSG00000163162,RNF149,2.119734353,0.000795776
ENSG00000197860,SGTB,2.804001156,0.000800049
ENSG00000065618,COL17A1,3.873777904,0.000815281
ENSG00000103569,AQP9,6.082702365,0.000815281
ENSG00000057657,PRDM1,2.541340624,0.000835212
ENSG00000167208,SNX20,3.157917409,0.000835212
ENSG00000105205,CLC,5.186616721,0.000838446
ENSG00000164047,CAMP,3.611858473,0.000838446
ENSG00000218565,RP11-12A2.1,5.04121371,0.000840998
ENSG00000188897,CTD-3088G3.8,3.264524017,0.000852015
ENSG00000270972,RP11-326C3.15,5.046058093,0.000852298
ENSG00000136250,AOAH,2.68956632,0.000856541
ENSG00000150337,FCGR1A,2.920737728,0.000856541
ENSG00000244482,LILRA6,6.657098606,0.000860895
ENSG00000257743,MGAM2,5.468408002,0.000871468
ENSG00000145685,LHFPL2,2.401297213,0.000873581
ENSG00000160410,SHKBP1,3.040041995,0.000873581
ENSG00000184106,TREML3P,6.767701649,0.000873581
ENSG00000204103,MAFB,2.614286123,0.000873581
ENSG00000133678,TMEM254,-1.629926651,0.000885643
ENSG00000278607,RP11-405M12.3,3.785652215,0.000889701
ENSG00000115935,WIPF1,2.746505945,0.000894287
ENSG00000172939,OXSR1,2.084399033,0.000905904
ENSG00000147251,DOCK11,2.66898641,0.000905986
ENSG00000159167,STC1,5.214613757,0.000910766
ENSG00000258831,RP11-76E17.4,5.274958271,0.000910766
ENSG00000286256,NA,4.866164543,0.000910766
ENSG00000237772,AC092620.3,3.523318683,0.000915149
ENSG00000185201,IFITM2,4.417216782,0.000939079
ENSG00000141480,ARRB2,3.064516209,0.000941739
ENSG00000102265,TIMP1,2.882429793,0.000942318
ENSG00000255197,RP11-750H9.5,4.559310069,0.000942318
ENSG00000278195,SSTR3,6.302969401,0.00094425
ENSG00000180549,FUT7,5.082800659,0.000947171
ENSG00000143384,MCL1,1.976805497,0.000956429
ENSG00000182831,C16orf72,1.389688485,0.000964769
ENSG00000261596,CTB-31N19.3,3.548938537,0.000964808
ENSG00000175040,CHST2,2.759286456,0.00096673
ENSG00000101188,NTSR1,6.561181681,0.000979571
ENSG00000116741,RGS2,4.452059432,0.000979571
ENSG00000203999,LINC01270,2.889537713,0.000979571
ENSG00000213654,GPSM3,3.147772496,0.000979571
ENSG00000111817,DSE,1.893602663,0.000996505
ENSG00000125753,VASP,2.835572298,0.001002991
ENSG00000110047,EHD1,3.614489955,0.001004705
ENSG00000124772,CPNE5,3.563239221,0.001004705
ENSG00000143110,C1orf162,2.854768395,0.001004705
ENSG00000143622,RIT1,1.974704073,0.001004705
ENSG00000126259,KIRREL2,5.142417982,0.001016923
ENSG00000167995,BEST1,4.27202841,0.001016923
ENSG00000272914,RP11-330O11.3,3.497107172,0.001016923
ENSG00000134802,SLC43A3,2.241755718,0.001029867
ENSG00000165030,NFIL3,2.616688855,0.001029867
ENSG00000287216,NA,5.570507806,0.001032425
ENSG00000173727,CMB9-22P13.1,2.548115366,0.001039916
ENSG00000164088,PPM1M,1.821131965,0.001043971
ENSG00000134531,EMP1,4.547698679,0.001051983
ENSG00000101350,KIF3B,-1.318291942,0.001061376
ENSG00000196923,PDLIM7,3.347194681,0.001061376
ENSG00000286076,NA,5.571457212,0.001067306
ENSG00000229808,RP11-456P18.2,3.775779702,0.001079059
ENSG00000090339,ICAM1,4.51958749,0.00108188
ENSG00000152213,ARL11,2.56650861,0.00108188
ENSG00000173638,SLC19A1,3.640039949,0.00108188
ENSG00000283994,NA,4.333299747,0.001095701
ENSG00000146278,PNRC1,2.266223787,0.001108925
ENSG00000163464,CXCR1,6.430346678,0.001108925
ENSG00000177663,IL17RA,2.420886475,0.001108925
ENSG00000270210,RP11-373D23.3,3.762558216,0.001109714
ENSG00000273812,WI2-87327B8.2,3.058680283,0.001109714
ENSG00000084110,HAL,3.46629036,0.001113316
ENSG00000182162,P2RY8,3.523216834,0.001113719
ENSG00000109046,WSB1,1.387893177,0.001120797
ENSG00000228705,LINC00659,5.049333423,0.001120797
ENSG00000185947,ZNF267,2.598860903,0.00112422
ENSG00000116885,OSCP1,-2.05195044,0.001129164
ENSG00000116127,ALMS1,-1.612541671,0.001132072
ENSG00000112137,PHACTR1,4.470590609,0.001135929
ENSG00000274213,RP11-670E13.6,2.818010272,0.001135929
ENSG00000257698,RP11-620J15.3,-2.304572192,0.001141263
ENSG00000135094,SDS,2.568076244,0.001154331
ENSG00000125430,HS3ST3B1,2.870353,0.001160265
ENSG00000159339,PADI4,6.929814912,0.001160265
ENSG00000115602,IL1RL1,5.790628587,0.001161239
ENSG00000267607,CTD-2369P2.8,5.58632803,0.001163883
ENSG00000187054,TMPRSS11A,3.137791258,0.001164436
ENSG00000135439,AGAP2,3.508059873,0.001169999
ENSG00000187688,TRPV2,2.759349363,0.00117907
ENSG00000078401,EDN1,3.330432477,0.001207907
ENSG00000127084,FGD3,3.180659665,0.001207907
ENSG00000113916,BCL6,1.9262904,0.00121536
ENSG00000133063,CHIT1,4.318388247,0.00121536
ENSG00000198729,PPP1R14C,-1.574555082,0.0012156
ENSG00000265531,FCGR1CP,3.678887295,0.0012156
ENSG00000068650,ATP11A,1.89240525,0.001219469
ENSG00000100211,CBY1,-1.792888219,0.001219469
ENSG00000173530,TNFRSF10D,3.076685084,0.001219469
ENSG00000185479,KRT6B,4.190736207,0.001219469
ENSG00000026508,CD44,2.669557528,0.001225049
ENSG00000198092,TMPRSS11F,4.298952693,0.001234117
ENSG00000163075,CFAP221,-2.38909187,0.001238258
ENSG00000165029,ABCA1,2.883670072,0.001238258
ENSG00000007350,TKTL1,4.031178171,0.001254375
ENSG00000099985,OSM,6.175722721,0.001254375
ENSG00000099998,GGT5,4.171877132,0.001254375
ENSG00000112053,SLC26A8,2.354118086,0.001254375
ENSG00000170458,CD14,3.871337583,0.001254375
ENSG00000203780,FANK1,-2.182707198,0.001254375
ENSG00000232470,RP11-313D6.3,4.444986107,0.001254375
ENSG00000248323,LUCAT1,2.732704542,0.001254375
ENSG00000266094,RASSF5,2.677081744,0.001254375
ENSG00000119535,CSF3R,6.40972559,0.001260168
ENSG00000261371,PECAM1,3.578768365,0.001260168
ENSG00000163220,S100A9,4.675517678,0.001261743
ENSG00000148572,NRBF2,1.752110935,0.001263289
ENSG00000165178,NCF1C,4.288157936,0.001263289
ENSG00000213085,CFAP45,-1.837320307,0.001263289
ENSG00000105329,TGFB1,3.34079951,0.001267448
ENSG00000168026,TTC21A,-1.80556987,0.001267795
ENSG00000108179,PPIF,2.84390087,0.001281795
ENSG00000145365,TIFA,1.883953909,0.001282252
ENSG00000105483,CARD8,1.575382385,0.001283757
ENSG00000272549,RP11-351J23.2,5.012625758,0.001284175
ENSG00000035862,TIMP2,2.323519776,0.001284999
ENSG00000120868,APAF1,2.435557264,0.001284999
ENSG00000151012,SLC7A11,2.201438308,0.001285778
ENSG00000255398,HCAR3,5.71067627,0.001285778
ENSG00000286809,NA,4.335780309,0.001305337
ENSG00000102755,FLT1,4.40249984,0.001334673
ENSG00000170542,SERPINB9,3.520456005,0.001334673
ENSG00000196843,ARID5A,3.012749368,0.001334673
ENSG00000153317,ASAP1,2.284804222,0.001337952
ENSG00000224397,LINC01272,5.156425627,0.001354211
ENSG00000198216,CACNA1E,4.589442998,0.001357662
ENSG00000171195,MUC7,5.292160023,0.001359387
ENSG00000172936,MYD88,2.085068729,0.001359387
ENSG00000120705,ETF1,1.452721942,0.001363872
ENSG00000260314,MRC1,2.457784228,0.001363872
ENSG00000141458,NPC1,2.188015404,0.001388821
ENSG00000235903,CPB2-AS1,4.230330509,0.001388821
ENSG00000118523,CTGF,-1.917103227,0.001395999
ENSG00000189430,NCR1,4.51653881,0.001395999
ENSG00000279719,RP11-81A1.7,5.659341568,0.001395999
ENSG00000105707,HPN,4.004310484,0.001404607
ENSG00000137193,PIM1,2.612996172,0.001404607
ENSG00000142405,NLRP12,5.886313472,0.001404607
ENSG00000180871,CXCR2,5.523479814,0.001404607
ENSG00000255122,RP11-303G3.6,-2.127409101,0.001404607
ENSG00000287079,NA,3.025500993,0.001404607
ENSG00000113749,HRH2,4.470919929,0.001415862
ENSG00000250548,RP11-47I22.2,3.683131445,0.001415862
ENSG00000186074,CD300LF,2.671156016,0.001417775
ENSG00000135077,HAVCR2,2.165555374,0.001425286
ENSG00000142512,SIGLEC10,2.506566504,0.001425286
ENSG00000186642,PDE2A,3.812657945,0.001429276
ENSG00000268355,AC006129.1,4.409255024,0.001466186
ENSG00000280832,ST3GAL4-AS1,2.904626629,0.001494323
ENSG00000181409,AATK,2.920714471,0.001498287
ENSG00000115091,ACTR3,1.580145173,0.00150034
ENSG00000204161,C10orf128,2.775203484,0.001515375
ENSG00000122591,FAM126A,3.07137979,0.001522965
ENSG00000131236,CAP1,1.940953461,0.001522965
ENSG00000265975,CTB-41I6.2,5.805213781,0.001522965
ENSG00000102218,RP2,2.168837774,0.001541559
ENSG00000125538,IL1B,5.791347637,0.001574745
ENSG00000171368,TPPP,-1.935945811,0.001574745
ENSG00000241839,PLEKHO2,2.849671066,0.001574745
ENSG00000116017,ARID3A,3.11867207,0.001575994
ENSG00000139289,PHLDA1,2.51428678,0.001588398
ENSG00000090674,MCOLN1,2.9141002,0.001589205
ENSG00000124216,SNAI1,5.611118484,0.001589205
ENSG00000153395,LPCAT1,3.070162561,0.001589205
ENSG00000231944,PHKA1-AS1,-5.670282278,0.001589205
ENSG00000114473,IQCG,-1.871749614,0.001597772
ENSG00000165006,UBAP1,2.519547384,0.001597772
ENSG00000259225,RP11-1008C21.1,-2.332472575,0.001597772
ENSG00000170837,GPR27,3.455781972,0.001601476
ENSG00000118307,CASC1,-2.146030822,0.001627799
