"","ICU_06","ICU_25","ICU_26","ICU_27","NON_07","NON_19","NON_20","NON_22","NON_23","NON_26","NON_28","ENSGID","SYMBOL"
"ENSG00000150687",48368,11891,8725,23677,35533,25105,40665,75652,33143,38931,63531,"ENSG00000150687","PRSS23"
"ENSG00000150712",2265,1247,950,1607,1590,1342,1577,3442,1994,1927,1761,"ENSG00000150712","MTMR12"
"ENSG00000150722",282,195,99,69,158,144,45,355,132,153,154,"ENSG00000150722","PPP1R1C"
"ENSG00000150750",104,36,0,53,99,53,284,355,234,390,97,"ENSG00000150750","C11orf53"
"ENSG00000150753",4578,3623,2371,4377,3658,2319,1747,3813,3260,3238,3062,"ENSG00000150753","CCT5"
"ENSG00000150756",1198,564,197,766,924,594,1055,1578,1127,878,611,"ENSG00000150756","FAM173B"
"ENSG00000150760",1160,627,416,929,1087,880,709,1784,1082,985,1062,"ENSG00000150760","DOCK1"
"ENSG00000150764",1189,380,95,815,1460,634,2102,3623,2030,1266,1852,"ENSG00000150764","DIXDC1"
"ENSG00000150768",1594,874,432,1115,1285,702,1068,2120,1286,1170,1229,"ENSG00000150768","DLAT"
"ENSG00000150773",1767,764,128,1532,2555,1178,3979,6683,4336,3998,3444,"ENSG00000150773","PIH1D2"
"ENSG00000150776",2301,1140,592,1096,1955,891,1415,3024,1990,1398,1966,"ENSG00000150776","C11orf57"
"ENSG00000150779",5497,3571,1714,3122,3184,2562,3778,6874,4922,6428,3189,"ENSG00000150779","TIMM8B"
"ENSG00000150782",2267,3087,2061,4031,1791,1424,1232,2866,2557,2925,2068,"ENSG00000150782","IL18"
"ENSG00000150787",3644,2688,987,2311,2549,1472,2230,4403,3056,3511,2082,"ENSG00000150787","PTS"
"ENSG00000150867",1862,767,1004,1368,922,1270,1041,1893,1355,718,761,"ENSG00000150867","PIP4K2A"
"ENSG00000150873",825,338,96,599,1483,2924,876,2206,1788,4003,1066,"ENSG00000150873","C2orf50"
"ENSG00000150893",1512,412,81,503,673,348,1157,1811,753,464,368,"ENSG00000150893","FREM2"
"ENSG00000150907",1574,1326,899,1114,1088,733,996,2226,1812,1038,1077,"ENSG00000150907","FOXO1"
"ENSG00000150938",2401,1381,713,1623,1430,635,1372,4085,1759,712,1908,"ENSG00000150938","CRIM1"
"ENSG00000150961",4861,2654,1623,4148,2367,1349,1948,4316,1829,2259,2403,"ENSG00000150961","SEC24D"
"ENSG00000150967",94,143,191,258,77,110,46,113,96,104,65,"ENSG00000150967","ABCB9"
"ENSG00000150977",6661,4656,16199,13651,2336,5405,2105,2824,2984,4007,2982,"ENSG00000150977","RILPL2"
"ENSG00000150990",435,333,157,617,368,505,249,640,416,558,301,"ENSG00000150990","DHX37"
"ENSG00000150991",71495,59224,76854,84318,33292,29951,32500,55929,51837,44434,41742,"ENSG00000150991","UBC"
"ENSG00000150995",1884,575,1106,1139,586,341,1221,2792,898,238,1304,"ENSG00000150995","ITPR1"
"ENSG00000151012",1428,2701,2365,2746,591,706,344,1310,746,454,330,"ENSG00000151012","SLC7A11"
"ENSG00000151014",143,187,195,205,89,86,58,102,80,145,49,"ENSG00000151014","NOCT"
"ENSG00000151023",4305,1445,341,2785,6657,2684,6849,8992,9526,8574,9141,"ENSG00000151023","ENKUR"
"ENSG00000151062",187,160,344,175,77,65,136,235,128,103,107,"ENSG00000151062","CACNA2D4"
"ENSG00000151065",330,181,102,314,369,368,295,557,465,427,319,"ENSG00000151065","DCP1B"
"ENSG00000151067",30,102,44,56,39,10,7,25,15,14,10,"ENSG00000151067","CACNA1C"
"ENSG00000151090",1501,1117,409,737,759,431,813,2354,936,1124,802,"ENSG00000151090","THRB"
"ENSG00000151092",3609,1624,1484,2290,2127,1573,2185,4202,2441,1919,2366,"ENSG00000151092","NGLY1"
"ENSG00000151093",1490,636,380,557,1077,597,1200,2103,1397,840,905,"ENSG00000151093","OXSM"
"ENSG00000151116",2433,1245,758,1501,1672,927,1551,3379,1929,1214,1731,"ENSG00000151116","UEVLD"
"ENSG00000151117",196,116,399,219,79,204,121,221,135,131,86,"ENSG00000151117","TMEM86A"
"ENSG00000151131",536,394,216,408,564,479,393,719,667,811,444,"ENSG00000151131","C12orf45"
"ENSG00000151135",5603,2418,625,3448,3068,1579,4016,6498,3879,4344,3416,"ENSG00000151135","TMEM263"
"ENSG00000151136",579,306,482,367,406,276,55,303,260,38,343,"ENSG00000151136","BTBD11"
"ENSG00000151148",1584,934,648,1424,1539,1751,1119,2013,1810,2001,1261,"ENSG00000151148","UBE3B"
"ENSG00000151150",5254,1523,689,2978,4788,3122,8097,12318,7755,4364,5906,"ENSG00000151150","ANK3"
"ENSG00000151151",2776,1573,1546,4410,1378,993,2109,4047,2147,913,1997,"ENSG00000151151","IPMK"
"ENSG00000151164",64,53,40,44,32,23,37,106,49,35,35,"ENSG00000151164","RAD9B"
"ENSG00000151176",618,476,1306,898,451,743,309,661,533,433,377,"ENSG00000151176","PLBD2"
"ENSG00000151208",282,196,312,563,277,246,213,306,268,244,321,"ENSG00000151208","DLG5"
"ENSG00000151224",267,95,19,241,602,1260,263,1485,823,827,631,"ENSG00000151224","MAT1A"
"ENSG00000151229",1241,317,139,697,642,283,841,1570,670,405,933,"ENSG00000151229","SLC2A13"
"ENSG00000151233",1043,588,412,646,576,374,706,1469,871,379,527,"ENSG00000151233","GXYLT1"
"ENSG00000151239",10223,5771,2999,7186,5677,3319,6291,15589,7721,4549,6819,"ENSG00000151239","TWF1"
"ENSG00000151240",940,333,180,577,699,422,779,1944,1085,532,1242,"ENSG00000151240","DIP2C"
"ENSG00000151247",2725,2135,1558,2360,1809,986,1454,4020,1708,1277,1810,"ENSG00000151247","EIF4E"
"ENSG00000151276",1489,878,491,1061,1591,1209,1788,3861,2380,1920,1836,"ENSG00000151276","MAGI1"
"ENSG00000151287",499,363,132,261,315,226,336,874,315,372,186,"ENSG00000151287","TEX30"
"ENSG00000151292",2643,1341,496,1545,1710,724,1421,2962,1802,1275,1671,"ENSG00000151292","CSNK1G3"
"ENSG00000151304",379,247,163,363,298,179,151,466,243,193,312,"ENSG00000151304","SRFBP1"
"ENSG00000151320",952,275,108,832,969,553,1481,2255,1751,861,1733,"ENSG00000151320","AKAP6"
"ENSG00000151322",51,23,0,24,75,10,52,147,117,63,151,"ENSG00000151322","NPAS3"
"ENSG00000151327",4241,2798,1803,4442,2212,2306,2939,5822,3089,3964,2531,"ENSG00000151327","FAM177A1"
"ENSG00000151332",936,512,445,554,538,245,469,963,488,254,441,"ENSG00000151332","MBIP"
"ENSG00000151338",2108,591,74,1139,2268,731,2470,6079,3302,2065,4894,"ENSG00000151338","MIPOL1"
"ENSG00000151348",2999,1540,947,2099,2369,2460,1410,3663,2573,1864,1682,"ENSG00000151348","EXT2"
"ENSG00000151353",1305,701,489,857,1243,1428,770,1989,1417,1322,1043,"ENSG00000151353","TMEM18"
"ENSG00000151364",50,23,21,53,31,25,23,56,18,45,45,"ENSG00000151364","KCTD14"
"ENSG00000151365",18,1,0,0,0,15,9,11,24,5,1,"ENSG00000151365","THRSP"
"ENSG00000151366",2700,1822,497,1443,2025,1359,2092,3491,2879,2859,1187,"ENSG00000151366","NDUFC2"
"ENSG00000151376",4517,834,655,2359,3639,9350,2895,9376,5314,3031,3823,"ENSG00000151376","ME3"
"ENSG00000151379",22,54,8,31,26,7,3,17,10,4,6,"ENSG00000151379","MSGN1"
"ENSG00000151388",0,7,0,31,31,7,11,68,25,70,70,"ENSG00000151388","ADAMTS12"
"ENSG00000151413",624,226,153,450,719,919,813,1557,1120,1051,968,"ENSG00000151413","NUBPL"
"ENSG00000151414",4030,2031,1821,3762,1569,821,2253,7095,1872,764,3191,"ENSG00000151414","NEK7"
"ENSG00000151418",46,0,0,11,56,9,83,55,39,42,92,"ENSG00000151418","ATP6V1G3"
"ENSG00000151422",914,563,227,641,700,234,446,1128,636,293,650,"ENSG00000151422","FER"
"ENSG00000151445",963,455,448,602,765,811,481,923,721,590,513,"ENSG00000151445","VIPAS39"
"ENSG00000151458",2417,1822,925,1381,1174,414,630,1802,1108,535,995,"ENSG00000151458","ANKRD50"
"ENSG00000151461",3747,2221,1235,2251,3234,1743,2764,5259,3403,2367,2635,"ENSG00000151461","UPF2"
"ENSG00000151465",1343,1251,1611,2093,951,1427,671,988,1066,1949,840,"ENSG00000151465","CDC123"
"ENSG00000151466",1123,448,551,1336,730,645,776,1747,1043,524,1360,"ENSG00000151466","SCLT1"
"ENSG00000151468",285,119,28,116,83,25,27,100,115,28,104,"ENSG00000151468","CCDC3"
"ENSG00000151470",2582,650,638,1058,1395,1093,1619,2627,2261,1511,2508,"ENSG00000151470","C4orf33"
"ENSG00000151474",205,179,82,202,138,102,35,118,144,60,79,"ENSG00000151474","FRMD4A"
"ENSG00000151490",152,49,27,63,82,55,14,116,72,10,105,"ENSG00000151490","PTPRO"
"ENSG00000151491",6704,3695,1765,3327,3142,1377,2364,5149,3129,2247,2820,"ENSG00000151491","EPS8"
"ENSG00000151498",4624,2115,2843,2074,2494,3418,1301,4218,2169,899,1288,"ENSG00000151498","ACAD8"
"ENSG00000151500",1992,762,568,997,1981,3393,1659,3271,3216,3238,1942,"ENSG00000151500","THYN1"
"ENSG00000151502",1907,956,1105,1641,1900,2581,1579,3275,2307,2444,1898,"ENSG00000151502","VPS26B"
"ENSG00000151503",362,176,121,406,339,483,285,711,348,298,242,"ENSG00000151503","NCAPD3"
"ENSG00000151532",1126,898,887,1098,907,770,722,1296,1054,724,614,"ENSG00000151532","VTI1A"
"ENSG00000151552",775,412,251,335,515,512,195,515,398,789,451,"ENSG00000151552","QDPR"
"ENSG00000151553",2998,1414,1034,1911,1441,887,1717,4153,2325,977,2057,"ENSG00000151553","FAM160B1"
"ENSG00000151572",60,3,15,19,7,10,61,165,24,14,105,"ENSG00000151572","ANO4"
"ENSG00000151575",1848,576,68,1301,2011,620,2538,4248,3521,1857,3435,"ENSG00000151575","TEX9"
"ENSG00000151576",879,530,374,630,536,488,391,999,599,537,476,"ENSG00000151576","QTRT2"
"ENSG00000151611",690,472,225,338,550,341,254,790,814,441,611,"ENSG00000151611","MMAA"
"ENSG00000151612",1364,713,306,906,1175,801,1075,1967,1209,681,534,"ENSG00000151612","ZNF827"
"ENSG00000151617",507,166,8,153,333,18,51,264,224,9,402,"ENSG00000151617","EDNRA"
"ENSG00000151623",1495,511,315,756,697,475,946,2224,1286,655,1294,"ENSG00000151623","NR3C2"
"ENSG00000151632",26035,24539,7649,11536,9640,10223,5285,23367,11758,5934,3703,"ENSG00000151632","AKR1C2"
"ENSG00000151640",6,14,5,22,14,4,17,66,14,8,16,"ENSG00000151640","DPYSL4"
"ENSG00000151650",58,59,197,135,15,32,10,22,21,16,13,"ENSG00000151650","VENTX"
"ENSG00000151651",1914,3526,19017,45169,733,1615,222,516,497,672,365,"ENSG00000151651","ADAM8"
"ENSG00000151655",64,19,0,19,24,17,19,50,45,20,13,"ENSG00000151655","ITIH2"
"ENSG00000151657",1284,671,485,729,694,454,684,1394,965,598,773,"ENSG00000151657","KIN"
"ENSG00000151665",1012,343,152,447,791,557,242,930,695,501,886,"ENSG00000151665","PIGF"
"ENSG00000151687",266,83,60,132,200,114,213,498,342,109,365,"ENSG00000151687","ANKAR"
"ENSG00000151689",2621,2164,960,1379,1541,1452,916,2255,1999,1773,858,"ENSG00000151689","INPP1"
"ENSG00000151690",7806,4170,1523,5955,7708,4121,9057,17141,10502,5832,6879,"ENSG00000151690","MFSD6"
"ENSG00000151692",286,106,62,165,213,112,218,298,217,132,165,"ENSG00000151692","RNF144A"
"ENSG00000151693",136,91,255,258,68,111,35,42,95,61,64,"ENSG00000151693","ASAP2"
"ENSG00000151694",632,439,979,1027,429,415,569,705,473,334,404,"ENSG00000151694","ADAM17"
"ENSG00000151702",1162,513,1060,1423,136,231,106,215,191,55,100,"ENSG00000151702","FLI1"
"ENSG00000151704",45,57,25,24,42,11,30,97,53,15,30,"ENSG00000151704","KCNJ1"
"ENSG00000151715",3980,3942,2809,3359,2460,1925,1557,4274,5102,2500,3105,"ENSG00000151715","TMEM45B"
"ENSG00000151718",416,196,178,312,210,108,161,357,169,113,225,"ENSG00000151718","WWC2"
"ENSG00000151725",2026,2833,1275,3344,630,789,547,2058,666,961,385,"ENSG00000151725","CENPU"
"ENSG00000151726",53818,16921,35911,118132,5915,9317,3099,9091,2565,1785,2799,"ENSG00000151726","ACSL1"
"ENSG00000151729",2688,1405,542,2020,2695,2421,3837,5678,3677,5385,2386,"ENSG00000151729","SLC25A4"
"ENSG00000151743",380,188,747,451,153,92,129,182,126,102,226,"ENSG00000151743","AMN1"
"ENSG00000151746",590,327,83,343,616,158,283,766,353,321,537,"ENSG00000151746","BICD1"
"ENSG00000151748",1275,714,542,775,1042,404,607,1113,696,503,864,"ENSG00000151748","SAV1"
"ENSG00000151773",358,81,70,224,322,201,441,577,451,184,473,"ENSG00000151773","CCDC122"
"ENSG00000151778",135,48,13,59,120,146,48,262,230,188,209,"ENSG00000151778","SERP2"
"ENSG00000151779",1197,707,335,1029,1646,2193,916,1771,2680,2028,1306,"ENSG00000151779","NBAS"
"ENSG00000151789",102,74,46,41,23,3,3,21,7,0,15,"ENSG00000151789","ZNF385D"
"ENSG00000151790",33,22,149,45,28,62,38,91,17,4,6,"ENSG00000151790","TDO2"
"ENSG00000151806",2055,1127,494,1217,1662,2223,998,2994,2342,2001,1272,"ENSG00000151806","GUF1"
"ENSG00000151835",689,348,131,624,236,184,351,654,346,207,180,"ENSG00000151835","SACS"
"ENSG00000151838",13,6,13,13,25,14,40,73,32,9,30,"ENSG00000151838","CCDC175"
"ENSG00000151846",34,32,20,30,25,8,18,10,23,43,20,"ENSG00000151846","PABPC3"
"ENSG00000151849",1034,551,194,490,1290,426,333,1234,859,468,1123,"ENSG00000151849","CENPJ"
"ENSG00000151876",1198,384,237,699,667,534,1225,2287,1172,735,1059,"ENSG00000151876","FBXO4"
"ENSG00000151881",1375,590,185,699,787,332,997,2425,921,602,934,"ENSG00000151881","TMEM267"
"ENSG00000151882",1043,500,173,1033,1106,1429,1241,1710,1815,1434,625,"ENSG00000151882","CCL28"
"ENSG00000151883",4423,1735,2683,4634,2418,2408,2471,5216,3348,2040,4073,"ENSG00000151883","PARP8"
"ENSG00000151892",244,14,0,60,188,15,6,181,132,0,454,"ENSG00000151892","GFRA1"
"ENSG00000151893",3732,2628,3076,3144,3397,3823,2491,5085,4236,2798,2484,"ENSG00000151893","CACUL1"
"ENSG00000151914",6576,3326,1178,3592,5710,1348,1792,5623,3442,1329,5180,"ENSG00000151914","DST"
"ENSG00000151917",46,2,4,25,22,10,21,38,17,0,79,"ENSG00000151917","BEND6"
"ENSG00000151923",6847,4096,2577,4179,5393,3401,4480,8190,5405,3984,3317,"ENSG00000151923","TIAL1"
"ENSG00000151929",3971,2950,2179,2663,3087,1649,1433,2948,2346,2839,2533,"ENSG00000151929","BAG3"
"ENSG00000151948",963,641,5040,5079,272,314,26,11,7,86,15,"ENSG00000151948","GLT1D1"
"ENSG00000151967",14,16,6,2,20,0,13,40,1,2,8,"ENSG00000151967","SCHIP1"
"ENSG00000152049",117,69,26,30,60,63,39,16,121,53,11,"ENSG00000152049","KCNE4"
"ENSG00000152056",420,609,186,333,476,337,235,681,514,580,260,"ENSG00000152056","AP1S3"
"ENSG00000152061",7516,3697,1922,3884,5191,3124,5956,12925,7931,4783,5983,"ENSG00000152061","RABGAP1L"
"ENSG00000152076",815,305,90,843,1645,3639,1171,1991,1769,4512,1065,"ENSG00000152076","CCDC74B"
"ENSG00000152078",1098,492,120,561,688,272,757,1358,578,423,387,"ENSG00000152078","TMEM56"
"ENSG00000152082",802,808,267,827,1137,1574,495,1016,1157,3273,751,"ENSG00000152082","MZT2B"
"ENSG00000152092",11,6,0,3,10,12,13,22,13,27,6,"ENSG00000152092","ASTN1"
"ENSG00000152102",3570,1887,3265,3651,2800,3339,2144,3663,2869,2737,2607,"ENSG00000152102","FAM168B"
"ENSG00000152104",1247,599,206,494,1005,305,396,1224,659,427,1018,"ENSG00000152104","PTPN14"
"ENSG00000152117",1264,682,477,996,704,876,774,1617,1126,681,538,"ENSG00000152117","AC093838.4"
"ENSG00000152127",4050,2080,1325,3001,5041,4651,2808,5113,3870,4035,2598,"ENSG00000152127","MGAT5"
"ENSG00000152128",49,43,17,75,13,30,14,45,34,12,9,"ENSG00000152128","TMEM163"
"ENSG00000152133",611,370,288,410,457,286,426,837,471,313,361,"ENSG00000152133","GPATCH11"
"ENSG00000152137",3396,16583,11148,6046,749,145,73,154,512,328,455,"ENSG00000152137","HSPB8"
"ENSG00000152147",1053,662,221,542,1238,709,1235,2002,1596,1845,953,"ENSG00000152147","GEMIN6"
"ENSG00000152154",1429,408,142,573,1399,1819,2485,3967,2325,2020,881,"ENSG00000152154","TMEM178A"
"ENSG00000152193",804,385,196,442,564,271,410,957,700,372,655,"ENSG00000152193","RNF219"
"ENSG00000152213",483,268,677,1111,125,175,64,134,113,64,110,"ENSG00000152213","ARL11"
"ENSG00000152217",384,177,81,305,277,144,175,396,280,213,333,"ENSG00000152217","SETBP1"
"ENSG00000152219",1946,784,300,846,1126,518,1063,2083,1548,991,1394,"ENSG00000152219","ARL14EP"
"ENSG00000152223",2874,1332,1668,2463,1313,1456,1005,2161,1618,935,1495,"ENSG00000152223","EPG5"
"ENSG00000152229",3183,1815,816,3012,827,698,178,537,452,218,308,"ENSG00000152229","PSTPIP2"
"ENSG00000152234",23619,13334,8346,14955,20891,19062,18876,35164,24716,23036,14464,"ENSG00000152234","ATP5A1"
"ENSG00000152240",1831,829,456,795,1082,603,1166,2534,1416,971,1249,"ENSG00000152240","HAUS1"
"ENSG00000152242",2826,1782,2048,3213,1849,1613,2042,3456,2293,1131,1392,"ENSG00000152242","C18orf25"
"ENSG00000152253",105,202,93,100,79,36,10,53,25,19,14,"ENSG00000152253","SPC25"
"ENSG00000152256",723,406,684,950,287,489,344,760,387,270,274,"ENSG00000152256","PDK1"
"ENSG00000152270",422,164,666,611,72,199,98,239,74,65,77,"ENSG00000152270","PDE3B"
"ENSG00000152284",339,191,92,346,481,463,148,342,409,255,289,"ENSG00000152284","TCF7L1"
"ENSG00000152291",6403,4178,5629,7839,4748,4466,3350,6648,5960,4083,5815,"ENSG00000152291","TGOLN2"
"ENSG00000152315",19,28,23,20,17,11,2,10,6,0,3,"ENSG00000152315","KCNK13"
"ENSG00000152332",16406,7253,2656,9128,10390,4026,11531,26936,12146,5679,10952,"ENSG00000152332","UHMK1"
"ENSG00000152348",537,265,114,237,447,286,523,853,655,593,426,"ENSG00000152348","ATG10"
"ENSG00000152359",1018,603,291,692,1143,564,1159,2703,1132,658,782,"ENSG00000152359","POC5"
"ENSG00000152377",116,87,20,110,142,50,159,355,152,64,106,"ENSG00000152377","SPOCK1"
"ENSG00000152380",461,469,282,322,197,98,129,302,173,140,107,"ENSG00000152380","FAM151B"
"ENSG00000152382",1179,767,253,660,718,287,597,1523,739,532,606,"ENSG00000152382","TADA1"
"ENSG00000152402",22,10,0,5,8,10,1,23,9,4,5,"ENSG00000152402","GUCY1A2"
"ENSG00000152404",1064,500,209,798,930,447,1205,2577,756,656,955,"ENSG00000152404","CWF19L2"
"ENSG00000152409",3016,1368,2313,1655,1883,996,1911,3429,2307,862,2369,"ENSG00000152409","JMY"
"ENSG00000152413",721,405,192,594,351,158,403,931,267,201,315,"ENSG00000152413","HOMER1"
"ENSG00000152422",965,521,414,693,443,330,545,1122,738,373,553,"ENSG00000152422","XRCC4"
"ENSG00000152433",937,445,127,282,718,189,388,855,893,391,726,"ENSG00000152433","ZNF547"
"ENSG00000152439",183,138,110,125,196,145,126,331,211,210,200,"ENSG00000152439","ZNF773"
"ENSG00000152443",1012,457,437,684,697,455,658,1330,724,501,783,"ENSG00000152443","ZNF776"
"ENSG00000152454",346,186,107,177,257,307,117,656,388,198,337,"ENSG00000152454","ZNF256"
"ENSG00000152455",455,325,142,317,309,192,280,623,326,356,246,"ENSG00000152455","SUV39H2"
"ENSG00000152457",2173,1784,795,1175,1631,934,1387,2863,1561,3069,1396,"ENSG00000152457","DCLRE1C"
"ENSG00000152463",238,826,876,90,89,25,44,53,16,50,6,"ENSG00000152463","OLAH"
"ENSG00000152464",1251,1068,402,846,1329,873,1184,2410,2025,2424,1344,"ENSG00000152464","RPP38"
"ENSG00000152465",543,288,198,349,515,482,587,1072,708,638,479,"ENSG00000152465","NMT2"
"ENSG00000152467",40,17,0,28,90,50,20,216,38,131,155,"ENSG00000152467","ZSCAN1"
"ENSG00000152475",112,30,21,142,99,224,69,140,180,134,148,"ENSG00000152475","ZNF837"
"ENSG00000152484",1616,1109,1008,1545,977,784,836,1880,1158,978,1066,"ENSG00000152484","USP12"
"ENSG00000152492",4827,2852,1285,2702,3084,1431,2485,6300,4121,2094,3311,"ENSG00000152492","CCDC50"
"ENSG00000152495",35,15,19,28,43,24,52,50,73,18,40,"ENSG00000152495","CAMK4"
"ENSG00000152503",350,209,79,289,183,170,415,880,640,356,406,"ENSG00000152503","TRIM36"
"ENSG00000152518",605,471,1872,2007,401,204,260,740,239,173,745,"ENSG00000152518","ZFP36L2"
"ENSG00000152520",6402,2462,2278,4620,4176,2795,5718,9787,5530,2180,4358,"ENSG00000152520","PAN3"
"ENSG00000152527",1057,407,199,520,648,516,1078,1999,1165,501,518,"ENSG00000152527","PLEKHH2"
"ENSG00000152556",1115,537,218,872,1094,1150,385,1377,855,762,703,"ENSG00000152556","PFKM"
"ENSG00000152558",24280,8844,4712,17906,20379,7862,19008,35690,18390,8399,22195,"ENSG00000152558","TMEM123"
"ENSG00000152578",41,23,9,11,26,14,2,24,5,7,10,"ENSG00000152578","GRIA4"
"ENSG00000152580",115,20,7,87,267,707,470,783,384,288,170,"ENSG00000152580","IGSF10"
"ENSG00000152582",4037,1385,302,4321,7786,3404,11490,18981,11727,7762,11656,"ENSG00000152582","SPEF2"
"ENSG00000152583",1957,130,175,198,584,428,605,1272,1400,277,2656,"ENSG00000152583","SPARCL1"
"ENSG00000152601",10586,5608,3104,7799,5356,2584,5918,13448,6006,2808,5460,"ENSG00000152601","MBNL1"
"ENSG00000152611",7391,3467,696,5773,13778,8500,22288,23617,23289,30156,11750,"ENSG00000152611","CAPSL"
"ENSG00000152620",1190,589,233,662,898,467,880,1649,951,962,817,"ENSG00000152620","NADK2"
"ENSG00000152642",5217,2021,895,2725,3838,2089,3580,6807,6492,3630,5516,"ENSG00000152642","GPD1L"
"ENSG00000152661",914,630,157,1444,353,19,21,178,155,0,354,"ENSG00000152661","GJA1"
"ENSG00000152669",1936,476,149,1728,2601,6703,3974,6007,2750,6744,1542,"ENSG00000152669","CCNO"
"ENSG00000152670",58,50,0,59,108,5,49,212,82,11,90,"ENSG00000152670","DDX4"
"ENSG00000152672",16,0,0,16,12,63,5,7,46,24,31,"ENSG00000152672","CLEC4F"
"ENSG00000152683",2516,1281,841,1693,1445,1057,1259,2404,1523,1064,1008,"ENSG00000152683","SLC30A6"
"ENSG00000152684",1389,1209,969,1140,1042,994,737,1472,1221,1411,785,"ENSG00000152684","PELO"
"ENSG00000152689",304,267,259,299,143,328,228,333,531,407,157,"ENSG00000152689","RASGRP3"
"ENSG00000152700",6288,3022,1837,3265,3883,2287,3748,7229,4284,3425,3629,"ENSG00000152700","SAR1B"
"ENSG00000152705",71,52,9,56,90,96,105,227,167,133,45,"ENSG00000152705","CATSPER3"
"ENSG00000152749",1923,858,179,1012,1239,425,935,2747,1472,911,1706,"ENSG00000152749","GPR180"
"ENSG00000152760",3948,995,250,2476,4655,2267,8178,11744,3645,4969,4306,"ENSG00000152760","TCTEX1D1"
"ENSG00000152763",5787,1777,376,4160,8544,3133,10280,14809,12379,7180,11553,"ENSG00000152763","WDR78"
"ENSG00000152766",2244,1972,1786,1487,489,811,482,1849,785,338,280,"ENSG00000152766","ANKRD22"
"ENSG00000152767",995,611,391,893,1026,1126,682,1306,1198,1305,802,"ENSG00000152767","FARP1"
"ENSG00000152778",2846,1128,495,1221,1492,798,993,4857,2644,566,3492,"ENSG00000152778","IFIT5"
"ENSG00000152779",197,15,0,79,98,24,213,118,30,91,22,"ENSG00000152779","SLC16A12"
"ENSG00000152782",764,185,54,190,627,133,654,756,435,209,410,"ENSG00000152782","PANK1"
"ENSG00000152784",596,412,668,3103,54,167,56,77,163,28,30,"ENSG00000152784","PRDM8"
"ENSG00000152785",1704,802,608,1393,884,1267,704,1274,1549,489,524,"ENSG00000152785","BMP3"
"ENSG00000152795",21665,12720,7720,14453,16940,8137,12079,29706,17768,10040,16880,"ENSG00000152795","HNRNPDL"
"ENSG00000152804",619,281,283,375,233,274,210,411,311,114,126,"ENSG00000152804","HHEX"
"ENSG00000152818",3851,1288,684,2405,3560,1861,3844,7045,5488,2240,5235,"ENSG00000152818","UTRN"
"ENSG00000152822",18,47,16,9,12,6,2,20,28,6,9,"ENSG00000152822","GRM1"
"ENSG00000152894",4963,2872,1721,2659,3310,1905,1904,5535,4143,2310,3820,"ENSG00000152894","PTPRK"
"ENSG00000152904",2193,1145,646,1185,1720,1148,1697,3089,2412,2086,1818,"ENSG00000152904","GGPS1"
"ENSG00000152926",2174,1540,1105,2399,1027,379,746,1180,945,354,752,"ENSG00000152926","ZNF117"
"ENSG00000152931",360,105,93,152,816,1123,430,1107,654,1777,1299,"ENSG00000152931","PART1"
"ENSG00000152936",62,15,0,123,185,46,205,319,172,138,360,"ENSG00000152936","LMNTD1"
"ENSG00000152939",2056,1439,419,1061,1656,732,1398,2459,2262,1663,1217,"ENSG00000152939","MARVELD2"
"ENSG00000152942",2050,1042,517,1339,1610,938,1612,2898,1837,1256,1230,"ENSG00000152942","RAD17"
"ENSG00000152944",2629,1707,579,1160,1770,594,986,1868,1574,1389,1367,"ENSG00000152944","MED21"
"ENSG00000152952",2089,1357,555,2096,1516,631,1387,2780,1261,644,822,"ENSG00000152952","PLOD2"
"ENSG00000152953",3,23,3,27,24,0,5,50,5,2,17,"ENSG00000152953","STK32B"
"ENSG00000152990",1910,476,281,1064,1685,930,2298,3196,1580,1051,1680,"ENSG00000152990","ADGRA3"
"ENSG00000153006",4395,4531,1091,3396,4567,2075,3191,7585,5135,5415,2810,"ENSG00000153006","SREK1IP1"
"ENSG00000153015",1226,650,365,685,1020,578,888,1690,1315,891,1014,"ENSG00000153015","CWC27"
"ENSG00000153029",2300,1059,1149,2220,1655,1424,875,2078,1960,896,2085,"ENSG00000153029","MR1"
"ENSG00000153037",1510,1341,434,893,1041,600,879,1807,1231,1571,744,"ENSG00000153037","SRP19"
"ENSG00000153044",239,232,162,293,227,246,144,445,223,341,208,"ENSG00000153044","CENPH"
"ENSG00000153046",1515,1139,1727,1332,744,899,616,1196,884,799,564,"ENSG00000153046","CDYL"
"ENSG00000153048",1293,1239,1213,1643,1051,1422,720,965,1203,2234,774,"ENSG00000153048","CARHSP1"
"ENSG00000153060",18,0,4,6,28,56,15,36,15,53,37,"ENSG00000153060","TEKT5"
"ENSG00000153064",456,74,64,103,116,117,127,270,242,133,371,"ENSG00000153064","BANK1"
"ENSG00000153066",1849,1155,2874,2395,1101,2000,1086,1630,1323,2048,1126,"ENSG00000153066","TXNDC11"
"ENSG00000153071",1119,773,1397,1593,500,333,396,964,531,278,739,"ENSG00000153071","DAB2"
"ENSG00000153093",65,27,77,103,64,234,104,189,154,216,146,"ENSG00000153093","ACOXL"
"ENSG00000153094",2848,1898,2306,2525,1316,1153,1022,2555,1752,1152,1624,"ENSG00000153094","BCL2L11"
"ENSG00000153107",795,408,254,482,633,715,447,1188,831,550,467,"ENSG00000153107","ANAPC1"
"ENSG00000153113",14028,11322,14594,11481,12275,8212,11357,21332,18734,10560,14733,"ENSG00000153113","CAST"
