"","Inflammatory.Macrophages","HOPX.high.Squamous.Cells","Basal.Cells","AZGP1.SCGB3A1.LTF.high.Goblet.Cells","Interferon.Responsive.Secretory.Cells","ITGAX.high.Macrophages","Interferon.Responsive.Cytotoxic.CD8.T.Cells","VEGFA.high.Squamous.Cells","Interferon.Responsive.Ciliated.Cells"
"ENSG00000167779",0.0101823112227311,0.0792964878717761,0.000389820163737495,0.0289454490510632,0.0255251594107471,0.0366809764940416,0.206950859253418,0.00158674281744199,0.0259841339187655
"ENSG00000167840",0.00573957460290556,0.0734110291707682,0.0196480288158036,0.108550937751027,0.0548808352028958,0.00995452023899485,0.218234287814153,0.013376145945041,0.0766523333397825
"ENSG00000167850",0.0535767159522696,0.412687797958505,0.0196480288158037,0.000854541368107862,0.257754954810169,0.0191360817750216,0.00877258597905236,0.013376145945041,0.0826509573441751
"ENSG00000167851",0.0202685664056992,0.137851665119629,0.00158674281744199,0.00358550422624146,0.0849115276042282,0.00630295984426984,0.0575290792418909,0.000957862441818113,0.0766523333397826
"ENSG00000167858",0.0080503107949131,0.0241644273369414,0.0248463444406556,0.326087402946485,0.0076340869801427,0.000771658234460747,0.396630800290556,0.0196480288158036,0.00845472888506159
"ENSG00000167874",0.0535767159522696,0.396630800290556,0.0277802600707998,0.00146298216417954,0.233380125668916,0.0191360817750216,0.0150915982722563,0.0196480288158037,0.0604198962156482
"ENSG00000167880",0.202726649779675,0.706636631932547,0.0152766309171525,0.00165587281703185,0.448968126155451,0.0631563503643532,0.0528041488419849,0.0248463444406555,0.340297614181904
"ENSG00000167969",0.00478790373910416,0.0101252232677546,0.00124265822419896,0.076255474866733,0.0043229900186627,0.015922828676132,0.380889759521277,0.00124265822419896,0.00975953595991691
"ENSG00000167977",0.104588601594521,0.646989097896852,0.0196480288158037,0.000984230984908125,0.432353561829766,0.0423913533632892,0.0241644273369414,0.0277802600707998,0.311824313900386
"ENSG00000167984",0.00682348342697732,0.0575290792418909,0.000274871285233825,0.0146058389051509,0.0330647072517203,0.00534071585154928,0.185448415777841,0.000274871285233825,0.0510032607069508
"ENSG00000167994",0.00682348342697732,0.0402350225156884,0.00632791500737073,0.0323416186575761,0.0181891720608455,0.00925970582255576,0.293358592377608,0.00305162918448574,0.00255858019971392
"ENSG00000167995",0.0535767159522696,0.321189258134261,0.0196480288158037,0.00435837625999599,0.210402699089904,0.00995452023899485,0.0365548213907564,0.013376145945041,0.109737232241656
"ENSG00000167996",0.00573957460290556,0.497492059936935,0.0380369246819265,0.00358550422624146,0.324727207069298,0.0203030511034858,0.00550061559251263,0.0277802600707998,0.0388452536203533
"ENSG00000168003",0.0190284748106836,0.196022378620094,0.11282494882899,0.125367943517716,0.124213996425763,0.127348968234888,0.0402350225156885,0.138184755351183,0.258925873684222
"ENSG00000168010",0.0932706859526028,0.396630800290556,0.0221388695011191,0.0080503107949131,0.270463710369742,0.00925970582255576,0.105957274652948,0.0173639320276314,0.169732604926812
"ENSG00000168026",0.00209803967860424,0.091991920043484,0.0221388695011191,0.153563290655135,0.0401240479015355,0.00114573000603884,0.206950859253419,0.0173639320276314,0.00529948717864386
"ENSG00000168038",0.0118142295481724,0.0269293105867051,0.00158674281744199,0.148612636917178,0.00471432055119653,0.00146156121664676,0.570320126228912,0.00158674281744199,0.000454615051409643
"ENSG00000168071",0.208705261275908,0.666684498280762,0.187897572172078,0.0561200478450902,0.457385226153353,0.0742681702370748,0.0150915982722563,0.166878085110799,0.298089220903039
"ENSG00000168078",0.0535767159522696,0.241865561477893,0.00199763274839023,0.0535767159522696,0.0647895887406609,0.00100857626228455,0.429054848700468,0.00534044344098429,0.00728204100842913
"ENSG00000168096",0.0080503107949131,0.0365548213907564,0.0024831964701773,0.246751888630833,0.00654508281541735,0.000361563262512441,0.497492059936935,0.00158674281744199,6.66145194135566e-05
"ENSG00000168140",0.0642410915032262,0.350377178579973,0.00305162918448574,0.00741835750136525,0.140965242606661,0.0169471275309419,0.011623377090113,0.00371142682047812,0.0352869812200622
