"","ICU_01","ICU_02","ICU_03","ICU_04","NON_01","NON_02","NON_03","NON_04","NON_05","NON_06","NON_07"
"ENSG00000165807",5.15638788305286,4.01252207328076,3.09220628065375,4.50021100439656,5.55972370835331,5.85139427662021,6.59190349316263,6.68581728431352,6.27617148209441,5.82802055364529,6.83593365635658
"ENSG00000165868",3.63881293267656,2.49260848796823,0.0917728214147707,3.52077308914118,4.22029892876252,4.23415286284119,4.79772999237803,5.30263276250328,5.12315620284142,5.0202631116665,4.28768110357174
"ENSG00000165898",5.16349447562893,4.49666117096062,4.09652468730596,4.80065978032781,5.49978807666395,5.44052752310829,5.65399481052351,5.55630340457854,5.78485777376562,6.49466820997441,5.29331312296966
"ENSG00000165923",6.56230566097255,4.82615083018641,1.58241752023241,6.71448921284231,7.57656375341891,6.87960375613272,7.34051392672525,7.8506763809063,7.63028389772172,6.65723731226195,7.53474600655072
"ENSG00000165949",8.90938643075777,7.22350946944057,7.71361986869015,7.44485596479388,7.9914563392927,9.5301346530468,10.0689206804022,10.5718353378441,10.0569836595339,8.64427425219778,11.1976306704923
"ENSG00000165959",6.49347743333332,5.43192824992761,5.16754162930575,6.42300234707848,6.79792200014749,7.34791069019688,7.40863976451256,7.26199962835095,7.45409307669279,7.27968095656543,7.23954089132684
"ENSG00000165997",6.63369641502407,7.19512753796355,7.98794957991298,7.66957755092872,5.45552276036589,5.29618240837567,5.23246147615983,5.59957625902987,5.22992238177348,4.82384484164048,5.80152277601864
"ENSG00000166016",1.5396779953931,3.26482296373933,5.50083900953851,4.0084204783901,1.81601940403371,1.55196496925302,1.01779426390612,1.73955310701197,1.09596989558711,1.34763169346263,1.17634990130645
"ENSG00000166046",2.80672929982271,4.34392771699463,6.50246131146762,5.10986957641123,2.89506039994456,2.67021051488475,3.08658888370487,2.62961964764768,2.87436498624928,3.49344567838868,2.73420737337346
"ENSG00000166069",1.35336607005433,0.963801000161305,0.744029672714385,0.629880136646253,2.69285283408041,3.03023994476324,2.38246612696712,2.21975434131188,3.15718403490463,1.2695268860328,2.49518467557171
"ENSG00000166128",6.29673441297705,6.2419240562104,8.02469185299863,7.44320221373161,4.49383775237676,4.45626775740346,4.11554862892713,4.20799981764838,4.37122602758709,3.26294388060663,4.27638033104742
"ENSG00000166130",4.38609818318904,4.38893893228861,4.84203941830651,4.99265571921198,4.2080365451653,2.8108029431629,3.67557106624654,3.24699006841175,2.93125380406426,3.11892688045266,3.52099964062704
"ENSG00000166145",7.00598980158912,8.18670861966058,9.7659552392106,8.23519747686257,7.62828636944678,7.48559554651735,6.28248902411796,6.45790400548023,6.87594800792248,7.87861524384261,6.15155842848596
"ENSG00000166165",6.28048391602005,6.29918945376018,7.20476617847093,7.06108836163885,8.01437688890496,7.37951818172917,7.74873108782424,8.33480601626126,8.77424071471838,10.2830344376566,7.89408564800617
"ENSG00000166169",4.22786749376857,3.97365136220328,3.80843754145074,4.43347697796632,4.73227498161877,5.44717202879191,4.92723908899373,4.90104134454051,5.30055167111705,5.08781741427954,5.02615855939362
"ENSG00000166171",5.66423871343808,4.69915194034925,3.83434007545941,5.65537439172739,6.96238529762738,7.00480170742546,6.75090127380708,6.55553061598051,7.30165898491634,8.58615359291155,6.71906546490937
"ENSG00000166173",3.24222249751095,2.6558452603941,1.25431830655347,3.43683801146098,3.75059194762356,3.91271031138331,5.13979178309218,4.3712585807246,4.42401979709385,5.35220168033278,5.12186709215031
"ENSG00000166183",1.37529602119577,3.13997959727111,3.40034048239907,2.41006506702625,0.476479859898366,0.948458463957829,-0.898592435189991,0.470410687785274,-0.062108794892146,3.36787697191178,0.192220902841418
"ENSG00000166250",0.196851949271549,1.5514469332461,-1.13128035976568,2.37579840644381,-0.252930286191915,-0.6174772001634,-1.16720679634669,-1.47492604728104,-0.205702273742034,-1.23134386385261,-2.30196055020021
"ENSG00000166313",3.87647847775259,2.59128261869922,1.96660222627697,4.76932456018083,5.43023334842439,4.74891167490863,6.13502376187121,6.08422842287438,5.46147770104352,6.41346460148062,5.0834778178668
"ENSG00000166321",2.97415263534902,2.6417456260586,-0.130702178353964,2.03294774040291,3.5220411655595,2.86639308964699,3.84676859297478,3.92682805962264,3.87163635916523,2.61173976360362,3.13959738167627
"ENSG00000166340",6.34302531840957,6.14591598717995,8.1537339714755,7.25666127003638,5.67037271286409,5.31082908033757,4.61308893923682,4.61695701645393,5.49669896266028,5.27335045934084,4.71486932738095
"ENSG00000166352",5.79557640099096,5.06808310659566,2.64238071177532,5.62287207604383,7.0752649055694,6.21868610074968,7.05961350586197,6.97174788077387,6.98383379378827,7.5981741581592,6.7595336873309
"ENSG00000166396",2.12277635684052,3.82247495333955,5.02411509029208,4.77327888553399,3.55145714101481,2.05659895285354,0.677675607645504,0.600039474415922,0.771058625288544,-0.0553196818768303,2.88566832224191
"ENSG00000166401",4.85559263156576,6.6520396282984,7.21318132546032,5.97615647004627,4.5804172533633,4.84512601945169,4.6023045228433,5.00929828730319,4.0929993924232,4.82384484164048,4.31739075915407
"ENSG00000166402",3.19983848776453,2.35246652612854,-0.130702178353964,3.5332634950226,4.36169771820601,3.77160431051161,4.82272156827675,4.96335567297855,4.4497094500969,4.74089062567612,4.75613190960828
"ENSG00000166451",2.12277635684052,3.61079543452405,2.90933385679766,2.463253124857,1.31941772882895,1.65887031777198,1.5538976150954,1.33641379349502,1.42333415853109,1.08118387321913,1.00436502912473
"ENSG00000166455",-2.95826088714367,-4.31048791661947,-4.31048791661947,-1.6221317614183,-1.25669683814307,-1.23012551908834,-0.604031791533923,-0.892040653238616,-0.749336660302023,-0.90721709236191,-1.84175620994203
"ENSG00000166478",4.83199898938774,5.08511561491419,6.27169657970114,5.17807219448816,4.61333485204719,3.63859679333872,3.96653661356848,4.43888367581416,3.9393377342292,3.86675783671578,3.93923801635713
"ENSG00000166501",5.81074377572304,4.74273895320994,7.44225717016866,6.99320404198567,2.84314375351551,4.14091681914521,2.85181330200093,2.40855215100709,3.21824493774657,2.49302955551309,2.98620043230558
"ENSG00000166523",7.04584713358258,6.96889039666137,9.89570688549047,8.5690927857076,4.25647285857383,4.62984584018784,2.71167228621011,1.6894533436217,1.91494877000017,3.49000560143142,1.89054030472007
"ENSG00000166526",5.21912109319238,4.79144792626499,4.88232722137176,5.04701891728698,5.95228682069411,6.43593693607576,5.9396734058854,5.90178983237538,6.32964573088837,6.88450280829601,5.80676898298684
"ENSG00000166527",4.68060979009753,5.94527869910899,5.37413030734527,6.28671571731865,1.73856548486981,3.24755890348775,0.115263757051275,-0.807389329800044,0.692226357548737,-0.319328225498719,0.0222330222217653
"ENSG00000166535",3.32060564601347,6.65905654637128,9.55793106462166,7.55097376711551,4.16004082510061,2.03911271210289,1.78763322138038,1.89289534858431,2.76786911343648,3.49687757206146,0.285361745793891
"ENSG00000166578",4.6750952126538,3.25095721240787,3.41414675817737,5.05570320793189,5.89351863337291,6.1607429530778,5.72613783937729,5.48099108525713,6.41612148731941,7.63212205248087,5.33294289563419
"ENSG00000166579",5.75642318042497,5.67543245599069,8.06271453939526,7.42739630265738,4.81814892280509,4.91988037200017,4.03763869306685,4.11209961796995,4.3569216821362,5.69241488702205,3.70082654506924
"ENSG00000166592",6.92374177776954,6.29469094683865,6.416764051267,7.86582000884674,8.32977893904036,8.24119917361629,8.36721493479903,7.97594354400258,8.96688372301782,9.95523895855004,8.14898502199615
"ENSG00000166596",5.8616373214209,4.26793702961562,1.69978824501539,6.2177784857286,7.02430644196961,6.02742806668437,6.695743747573,7.04970020470815,7.46061124213902,8.354431861876,6.57469328682699
"ENSG00000166704",5.39848239066683,4.12068032965506,3.04861511291933,4.81990421191974,6.2580843379139,4.72860143958506,5.18626889694254,6.39927856378414,6.19272082137433,4.84014851296628,5.96119303515064
"ENSG00000166889",5.20158353009383,5.72726188561225,7.88389400641424,6.45658846786986,4.67848115026353,5.3378971340888,4.06930931554301,4.25427626331057,4.23707482333236,4.39410316395282,4.54790351809883
"ENSG00000166900",6.89485438789537,7.33642098425575,9.02215959821648,7.68452785610382,5.99573538180259,6.30717622009257,5.81600149364306,5.90178983237538,5.94377679186165,6.31240011419398,5.47317237741058
"ENSG00000166920",7.20412696293296,7.84405808238836,9.77132872626751,7.67874200388778,5.68740314063602,4.72996438705411,4.32464010158173,3.17599386043253,6.06752433221924,4.56895239843602,2.68377487400374
"ENSG00000166923",-1.46004109667905,1.21300023534009,1.8083244795812,3.02403685895186,-0.346290488342622,-2.99338431910224,-1.9267105666123,-1.93202448991482,-3.38426267625045,-4.31048791661948,-1.30054420990107
"ENSG00000166925",5.64969177154326,5.746330686185,8.34695778682327,7.24199292450956,4.98793694578596,5.39485839850443,4.15544187394828,4.0665629884098,4.82133046610819,5.50658265244975,4.17251408474199
"ENSG00000166926",-0.563694245018654,0.770004350091299,2.5453503745138,-1.73742513739163,-1.25669683814307,-4.31048791661948,-4.31048791661948,-2.46871261016207,-4.31048791661947,-4.31048791661948,-3.30479740903725
"ENSG00000166928",1.65173350327344,1.72196757577787,4.44811943097848,3.10575640404365,1.07125302874788,-2.73088696578762,-0.0563860080563185,-1.68544730263676,0.808916133994958,-0.642718761476198,-0.0143073647719339
"ENSG00000166959",6.68672647853375,4.72613019181134,2.26969688982538,6.8259261999384,7.68671281840839,6.09244946399506,7.01727785889336,7.75681438557987,8.5990379802654,8.79919637314056,7.50095855615669
"ENSG00000166963",4.56371693001415,3.37971818116286,3.44809524196845,4.96641421798733,5.92069934911811,5.83881627189962,5.0645253518138,5.36494817169517,5.85778281450776,6.83722852339304,4.94759271569986
"ENSG00000166974",3.58807156007686,4.03696846273673,6.00714336994542,4.07400684074783,3.1598642347099,2.51442309018509,2.67096515313821,2.67077865320665,3.33312105445826,4.00814366468,2.94872381821002
"ENSG00000166979",5.3023167199086,5.59081326542828,5.25835768874962,5.62870404164544,5.85340374828139,6.23221443489357,6.20915967486012,6.28824937456821,6.32434577815477,6.95948760312707,5.91942448180922
