genesymbols	Developing Ciliated Cells	SPRR2D high Squamous Cells	KRT24 KRT13 high Secretory Cells	ITGAX high Macrophages	B Cells	FOXJ1 high Ciliated Cells	CD8 T Cells	SERPINB11 high Secretory Cells	Inflammatory Macrophages	MSR1 C1QB high Macrophages	Dendritic Cells	MUC5AC high Goblet Cells	CCL5 high Squamous Cells	SCGB1A1 high Goblet Cells	BPIFA1 high Secretory Cells	Deuterosomal Cells	Basal Cells	Early Response FOXJ1 high Ciliated Cells	Early Response T Cells	Ionocytes	Interferon Responsive Macrophages	BPIFA1 and Chemokine high Secretory Cells	Cilia high Ciliated Cells	Mitotic Basal Cells	Interferon Responsive Ciliated Cells	AZGP1 high Goblet Cells	BEST4 high Cilia high Ciliated Cells	Developing Secretory and Goblet Cells	FFAR4 high Macrophages	AZGP1 SCGB3A1 LTF high Goblet Cells	HOPX high Squamous Cells	Plasmacytoid DCs	Enteroendocrine Cells	Early Response Secretory Cells	VEGFA high Squamous Cells	Interferon Responsive Cytotoxic CD8 T Cells	Interferon Responsive Secretory Cells	Mast Cells
ABCA12	1	1331.96574803746	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1074.15855332147	1	1	1	1	1	1	1	1	380.512974101334	1	1467.27565982405	1
ABCA13	16501.6853320477	2059.78065695084	4059.24833513153	1	1	21051.7628473045	1	4314.47608337771	1	1	1	11098.6742082034	9248.15177597698	8769.25321448299	8379.79557025585	11449.6957414442	5868.94069932055	12525.5578966262	1	1	1	1	26267.1758982247	3670.55845567742	12143.5906239206	3705.61922198941	32561.1413873819	13271.7793890792	1	4465.45602196227	1186.77075098814	2420.63064295486	1	5467.72084432476	1215.06440097124	441.713084892509	1719.21305841924	1
ABCA2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	299.708247668895	354.753096785187	1	1	1	1	1	235.3231874261	1	1	1	345.752822877184	1	1	1195.14044687642	1	1	1	1564.90776885379	1	1
ABCA3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	325.254215304799	1	1	1	1	1	1
ABCA4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA5	2434.34406861493	277.446768922653	1704.13867234131	1	1	2252.60584476171	1	1680.01281321931	1	1	1	2825.73388501349	1	1281.56659700224	1	1672.91253200926	1926.68776225928	1643.37632563343	1042.37747780644	572.836309767162	1	1	2436.79884063776	1436.55446158209	926.453833871565	1137.5688209879	2378.81957686089	2884.04536211157	1	539.698106126362	1	1	1	1108.24335056411	588.643465781272	1	1719.21305841924	1
ABCA6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	299.176099737084	1	1	1	1	1	1	1	1	1
ABCA7	1	933.771118137591	1034.28832993083	1	1	1442.49198097622	1	633.201146180348	1	1	1	2464.05404854822	1	1817.42731353914	1	1	996.459837016027	458.03541748324	446.461820807257	2732.71995967736	1	1	1822.4674027295	4101.92974613361	990.584948677252	2002.98908588645	2515.78698814904	3765.02058412305	59.4638962067017	829.560360694112	396.256916996047	2197.84683931587	1	502.688135823096	757.853200331484	642.470457695062	2933.55131964809	3185.71337579618
ABCA8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA9.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB1	1	1	1	1	1	1	3249.96838007394	1	1	1	1	1	1	1	1	1	1	1	1742.37155774085	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2312.06478548528	1	1
ABCB10	1	1	1	1	1	327.773148525738	1	1	1	1	1	1	1	1	1	1	1	527.405635565607	1	1	1	1	1	1	261.52124557891	250.071556155117	1	1	614.898670119527	1	1	1	1	1	1	359.591844007551	1	1
