"","Inflammatory.Macrophages","HOPX.high.Squamous.Cells","Basal.Cells","AZGP1.SCGB3A1.LTF.high.Goblet.Cells","Interferon.Responsive.Secretory.Cells","ITGAX.high.Macrophages","Interferon.Responsive.Cytotoxic.CD8.T.Cells","VEGFA.high.Squamous.Cells","Interferon.Responsive.Ciliated.Cells"
"ENSG00000102007",0.0614511208623161,0.809275856813226,0.0196480288158037,0.00045967919219881,0.527239748142483,0.0423913533632892,0.0216070023461268,0.0343660669639319,0.258925873684222
"ENSG00000102010",0.0341402461651596,0.175228114065639,0.0024831964701773,0.0126975361408232,0.0880875306786813,0.00374589683788555,0.0269293105867051,0.0024831964701773,0.0955652183531542
"ENSG00000102024",0.0109762864603785,0.0101252232677546,0.00632791500737073,0.185411949262716,0.0011230729173029,0.0605655594096228,0.254212113956085,0.00744320106343547,0.00529948717864386
"ENSG00000102030",0.310754976066712,0.32118925813426,0.234526293394319,0.816700522795399,0.183649498353882,0.0631563503643533,0.497492059936935,0.210445401571026,0.0352869812200623
"ENSG00000102032",0.0126975361408233,0.044164728660072,0.0248463444406555,0.076255474866733,0.0241781558220749,0.0331865605427276,0.011623377090113,0.0196480288158037,0.0955652183531542
"ENSG00000102034",0.0126975361408233,0.175228114065639,0.00744320106343547,0.0029191604378042,0.120235349024061,0.0169471275309419,0.0064688985529099,0.00534044344098429,0.117306803014238
"ENSG00000102038",0.705689147131491,0.608212031580995,0.93346771133158,0.884925141850393,0.841760251396407,0.447576187102184,0.62749486595089,0.911356092610019,0.894426996905303
"ENSG00000102043",0.976921634673323,0.872288363084034,0.780352335624235,0.953859142323981,0.894187401026699,0.266135179286553,0.935974749691415,0.823611353266703,0.79037273775329
"ENSG00000102048",0.202726649779675,0.706636631932547,0.138184755351183,0.366134446148299,0.331890064580612,0.0003050600063487,0.62749486595089,0.138184755351183,0.0288645989570019
"ENSG00000102053",0.141686141793246,0.394378140470845,0.351429414805569,0.838610389149746,0.308302271026382,0.0321333212804357,0.62589821259801,0.277987431871313,0.226343912044594
"ENSG00000102054",0.202726649779675,0.872288363084034,0.330761944057366,0.417323347768521,0.629895298696934,0.194462675394375,0.279960573486871,0.393822814691562,0.433440737611615
"ENSG00000102057",0.0124003441292679,0.514325434153261,0.00983882393939474,0.000225502625237865,0.309480128252387,0.03265877026909,0.0025516125327461,0.0192590664847215,0.159074097046929
"ENSG00000102078",0.00165587281703185,0.105957274652948,0.00447135932966232,0.143763166452777,0.0401240479015355,0.000498034472264704,0.206950859253419,0.00447135932966232,0.00728204100842913
"ENSG00000102081",0.426175240083245,0.0988132310793055,0.867315666270784,0.341814628423491,0.136651082823611,0.583784434532632,0.957295539966406,0.867315666270784,0.484091162225397
"ENSG00000102096",0.481118490845223,0.97864147885784,0.845414621744262,0.417323347768521,0.883665268126761,0.422284822639414,0.113428868455796,0.737645367690826,0.669578645642079
"ENSG00000102098",0.438539261913169,0.808847836726944,0.76910663400764,0.971088143783858,0.94687684598961,0.20436003769819,0.882599400758216,0.633181191331174,0.34646427930598
"ENSG00000102100",0.158615526447876,0.307102493519774,0.0906863459869455,0.341814628423491,0.216015786526009,0.0366809764940417,0.589150557249191,0.060532874674575,0.0319627993280175
"ENSG00000102103",0.500103997909273,0.589150557249191,0.345993661494477,0.816700522795399,0.407993025415916,0.100255767600409,0.307102493519774,0.287266018557274,0.0604198962156484
"ENSG00000102109",0.00323963598903987,0.00877258597905236,0.013376145945041,0.27417930076692,0.00471432055119653,0.0366809764940417,0.206950859253419,0.0152766309171524,0.0826509573441751
"ENSG00000102119",0.462462370038952,0.893458705879011,0.977803748101271,0.158615526447876,0.894187401026699,0.82780676352638,0.0483518642946536,0.845414621744262,0.873446577523315
"ENSG00000102125",0.705043921148604,0.705993311252152,0.307425209348798,0.588476459453645,0.581485792644413,0.342055790693905,0.597805557703708,0.293108711628412,0.407993025415916
"ENSG00000102144",0.0360076626947772,0.0331160138053491,0.0309503133810332,0.408561451833844,0.0076340869801427,0.0580478604273298,0.396630800290556,0.0309503133810332,0.0112049672535921
"ENSG00000102158",0.134366008418765,0.218234287814153,0.51706246955549,1,0.204877151119172,0.859785761362479,0.851192958941081,0.535885937797868,0.179664876580011
"ENSG00000102172",0.539023316116247,0.788478313421582,0.67484598838852,0.805428032149335,0.718611975240987,0.194462675394375,0.872288363084034,0.654298985497069,0.79037273775329
"ENSG00000102174",0.0289454490510632,0.533389658788904,0.0776455228941631,0.0511133313461827,0.35387461374423,0.0269088063303955,0.0625339131400845,0.0977163661397236,0.24655957577897
"ENSG00000102178",0.641341047431523,0.32118925813426,0.695594194289824,0.303238242930636,0.361366375598003,0.422284822639414,0.479951494885688,0.613855791268312,0.501535667604937
"ENSG00000102181",0.173289188066229,0.116321614403364,0.0898132960809604,0.936437852833189,0.047520939881546,0.132691163676768,0.395507531602689,0.107974496573763,0.105143271073346
"ENSG00000102189",0.896376247789791,0.589150557249191,0.44473001942767,0.179847045399238,0.800220634715976,0.173487886705813,0.365470183682198,0.480286296340156,0.957685241021619
"ENSG00000102218",0.000854541368107858,0.0331160138053491,0.0116524932267405,0.233655796536957,0.0043229900186627,0.0149437697367229,0.218234287814153,0.0116524932267405,0.000159971428068715
"ENSG00000102221",0.0700753047816204,0.445725659891341,0.0380369246819263,0.0487287262108179,0.331890064580612,0.178595317583014,0.0792964878717761,0.0506712879011351,0.311824313900386
"ENSG00000102225",0.727552668351942,0.788478313421582,0.845414621744262,0.100721624291111,0.883665268126761,0.712861657246498,0.113428868455796,0.845414621744262,0.978836500144194
"ENSG00000102226",0.108550937751027,0.0854881741944781,0.0173639320276314,0.509717212840556,0.0241781558220748,0.00410606882255764,0.957295539966406,0.0152766309171524,0.00167697389645238
